Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh,Raw_InHigh,Raw_InLow,Raw_OutHigh,Raw_OutLow,Raw_Sys
8000,11699,4.008,0.0,2,6,0,0,0,0,4.008,0.75,1.75,0,0.75,140,20,250,-150,5
11700,11882,4.008,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,140,20,250,-150,5
11883,11904,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,140,20,250,-150,5
11905,12199,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,140,20,250,-150,5
12200,12258,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,140,20,250,-150,5
12259,13444,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,140,20,250,-150,5
13445,13588,2.004,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,140,20,250,-150,5
13589,13920,2.004,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,140,20,250,-150,5
13921,14077,2.004,0.0,2,6,0,0,0,0.3,1.7,0,2.004,0,2.004,140,20,250,-150,5
14078,14604,2.004,0.0,2,6,0,0,0,0,2.004,0,2.004,0,2.004,140,20,250,-150,5
14605,14964,2.004,0.0,2,6,0,0,0,0,2.004,0,2.004,0,2.004,140,20,250,-150,5
14965,14973,2.004,0.0,2,6,0,0,0,0,2.004,0,2.004,0,2.004,110,20,250,-150,5
14974,99999,4.008,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,110,20,250,-150,5
