Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,1.219908466628451,0.10508042335641182
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,1.118303310944035,0.09414848192943936
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,1.0532832268118497,0.09031186424551266
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,1.0839468473818985,0.09035737606602497
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.9875492300419151,0.0969243680396104
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,1.0150505934847658,0.09715573342681981
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,1.0424098434899705,0.08860652786436811
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.8861973962276842,0.07604002696122213
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,0.9205982058597569,0.07827521867677205
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.973428309641118,0.0902513196451588
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.920093785879109,0.0920006202404893
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,1.0401735614605876,0.08664373550405498
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,1.0001248084475114,0.08427645443570723
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,1.133650234853744,0.09716560222311552
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,1.1416872390008257,0.0985609508533467
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,1,0,24,1.0169718956899139,0.09584132125074131
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,2,24,48,0.9468158217041025,0.08932459698891713
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,3,48,72,0.907463262487571,0.08261428707137876
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,4,72,96,1.0009456479332894,0.09379132927967793
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,5,96,120,1.0508422786229394,0.09886164135799519
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,6,120,144,0.8754118356826435,0.0779392767266151
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,7,144,168,0.7284598372088472,0.06664742694973486
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,8,168,192,0.7131815203891525,0.07485057224890167
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,9,192,216,0.6040164703654216,0.06518209338938315
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,10,216,240,0.8544953901773932,0.07307857351836858
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,11,240,264,0.9362008776628533,0.09071690390194322
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,12,264,288,0.8618573573689561,0.08415366227220814
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,13,288,312,0.9776287579202716,0.08502074954254817
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,14,312,336,1.0001477540235104,0.08858944905477385
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,15,336,360,1.000182429776634,0.09336084806785842
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,1,0,24,0.9337611658146149,0.08862022652265716
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,2,24,48,0.9773158826080002,0.08620162248502514
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,3,48,72,1.0039264080753634,0.08689113816425764
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,4,72,96,0.9294172801081825,0.08767964711194852
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,5,96,120,0.9205059396870203,0.07836739812703343
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,6,120,144,0.783734244097843,0.07660713316987264
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,7,144,168,0.8209505659344839,0.08329158935835589
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,8,168,192,0.8072125928707214,0.07827917171409873
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,9,192,216,0.8603695404598478,0.08989079345134694
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,10,216,240,0.9265366757039325,0.07898863805331986
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,11,240,264,0.9075125430126263,0.07638388007000331
