Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.2450254324735353,0.11886163910446189
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,1.2784234615483838,0.14488408440039324
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.1002949004188263,0.09973373110023441
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,1.0427369879687076,0.0874262780079238
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.9085353979390564,0.07481252025922168
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,1.0645087732539196,0.07349501706120731
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,1.094912724061881,0.07528931327122097
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.9964886458666888,0.06482999930813937
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.1121945048316997,0.06996298092378936
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,1.0298761838172141,0.07219762517638335
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.076585236938441,0.08574762764573807
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,1.0632341611290184,0.08721896000130437
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.9793178744321714,0.09388852712311134
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,1.0185428155388967,0.10769873970443741
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,1.0795994622864489,0.12142753769726393
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.1164430113925647,0.137539410030322
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.294771792885031,0.12680399612540202
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.1483426709828384,0.12434052027748024
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,1.0986448189159777,0.0925370643908557
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,1.009165926915083,0.08290532754030347
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,1.1122244564037402,0.06690043302086815
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,1.095160510760847,0.07147270910132096
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,1.1854633481534924,0.07982286747245516
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,1.1340886757849162,0.07002152946964102
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,1.1144197468247428,0.0687296266196097
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,1.2519411067502952,0.08541181953933834
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.9701220948371393,0.08512499400073707
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,1.1606554355262844,0.10221486362314655
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,1.0174798522232162,0.11273707847075377
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,1.1486041428157985,0.12266945501968447
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,1,0,24,1.1708310463210212,0.1306594531553932
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,2,24,48,1.177986205038273,0.13775760513780602
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,3,48,72,1.1710282996418182,0.10565019723112062
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,4,72,96,0.979888983766729,0.07812397998297003
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,5,96,120,1.0703671747369201,0.07363417986876536
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,6,120,144,0.9675192066946384,0.06292361379532138
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,7,144,168,1.0788598883752156,0.07628186124691495
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,8,168,192,1.1405877013950227,0.08059366031587921
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,9,192,216,1.1802624560276502,0.07944301289893295
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,10,216,240,1.1268575462830344,0.0702202844502377
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,11,240,264,1.1030867280123788,0.07076060222445489
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,12,264,288,1.1159283771058899,0.08822448339514675
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,13,288,312,1.0989394500801704,0.09862442326904403
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,14,312,336,1.2043490171118063,0.12092954642251184
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,15,336,360,0.9857346779305088,0.11718062781133036
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,1,0,24,1.3211920051845005,0.16480746962220813
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,2,24,48,1.3857950451883452,0.16800037790618502
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,3,48,72,1.1669047170412683,0.10680145825305414
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,4,72,96,0.9929036350278296,0.08086504664417524
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,5,96,120,1.136125103873336,0.0760556113075581
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,6,120,144,1.101353903551551,0.07719276206576182
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,7,144,168,1.170696296614638,0.08308307785629049
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,8,168,192,1.1815483480295381,0.08366559865713402
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,9,192,216,1.3468179082490663,0.09086860925258188
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,10,216,240,1.2428856636765864,0.08246136822097822
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,11,240,264,1.1268719238598823,0.07885194423427509
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,12,264,288,1.1281404243650355,0.09148458120502836
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,13,288,312,1.2965779604569276,0.11751616593458519
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,14,312,336,1.1405065489112638,0.1276599469737973
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,15,336,360,1.292405137088594,0.1770942026704259
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,1,0,24,1.6592859072042863,0.2607229805766652
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,2,24,48,1.6314664219454866,0.21805642926698363
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,3,48,72,1.402444386506943,0.15440728952825533
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,4,72,96,1.2218678065193227,0.11074847024595681
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,5,96,120,1.0663745001781402,0.08654596864394212
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,6,120,144,1.0883287974162446,0.07808902980233853
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,7,144,168,1.0830009345232194,0.08579575191999225
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,8,168,192,1.1756649696436063,0.09038121583716462
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,9,192,216,1.1483460794703262,0.08597851996105951
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,10,216,240,1.152220397858804,0.08180608801683237
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,11,240,264,1.1345024272814086,0.09014748639503913
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,12,264,288,1.1176118529992336,0.10911900327983129
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,13,288,312,1.5483077061777277,0.13654624047877606
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,14,312,336,1.5938881471361979,0.1947471204374462
Q3p85_W2p62_t0p21_loweps,5,0.358,0.5,15,336,360,2.1141861979276433,0.29161757967247226
