Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,191.83333333333337,0.06375387702070391,0.0060007243289236945,9.412328487842354
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,231.50000000000006,0.0765755148131579,0.008604770109125756,11.236973241539614
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,297.16666666666646,0.09560308439563982,0.008587582154195196,8.982536712577916
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,352.4999999999999,0.11480410945928805,0.009588787418866908,8.352303296483733
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,316.6666666666667,0.10399869263172615,0.00874506614315684,8.408823151387429
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,357.1666666666666,0.11544987009235466,0.00975136570973649,8.44640682742721
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,354.1666666666665,0.11355965255306323,0.00980431988414008,8.633629694806258
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,306.5,0.10048611867959575,0.008538757192234257,8.497449502911389
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,348.3333333333332,0.11342586045257175,0.009479289234039323,8.357255740636875
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,358.49999999999994,0.11768666628341523,0.009589976776319769,8.14873687833506
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,372.49999999999983,0.12141970469152634,0.009977516638783044,8.217378442923652
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,361.4999999999998,0.11867900556825092,0.00968384911483449,8.159698565442918
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,267.0,0.08502597608404334,0.008086990040579764,9.511199298184161
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,197.00000000000006,0.06246997827417989,0.006542465432262347,10.472975360336378
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,171.50000000000009,0.05418474072881871,0.006031372751836505,11.131127824385173
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,151.50000000000009,0.05011313388420485,0.006152923271669432,12.278065239118423
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,220.33333333333334,0.07108605096624687,0.006907504071863914,9.71710198832643
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,280.49999999999983,0.09278372313214164,0.010100206292746189,10.885752319252783
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,373.49999999999983,0.11995472794422689,0.010197393947475084,8.501035450821393
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,309.8333333333332,0.10248659613942442,0.01096487748094638,10.698840525476701
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,372.49999999999983,0.12231758294598201,0.009867355277223313,8.066996616161834
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,236.00000000000006,0.07537038897704453,0.007321548806984652,9.714091842108665
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,193.6666666666668,0.06406101383217386,0.007427303148498348,11.594108029504953
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,249.33333333333343,0.08157654230744801,0.007331993984308011,8.98787050409048
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,310.49999999999983,0.10001348121713205,0.008829699176706512,8.828508986240555
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,423.9999999999998,0.13935274066899545,0.010946686052269264,7.8553790902978555
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,339.83333333333326,0.1079205977155035,0.009644487936588094,8.936651705740692
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,280.9999999999998,0.09205123475849192,0.008028873086927051,8.722178586731419
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,177.5000000000001,0.0560197729227476,0.0061519997949846085,10.98183636600659
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,15,336,360,158.00000000000006,0.05136532408022662,0.005432876300888438,10.576933754769893
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,1,0,24,144.00000000000006,0.046734407417659836,0.005155933410759011,11.032414222525702
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,2,24,48,188.16666666666683,0.06224172514330834,0.007307105054280039,11.739881948091588
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,3,48,72,298.66666666666646,0.09609925403805772,0.008621239490579696,8.971182530891934
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,4,72,96,320.8333333333331,0.10522729526269983,0.008879159221338008,8.438076070634711
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,5,96,120,345.66666666666646,0.11254378108827326,0.009463840289345942,8.409029977341012
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,6,120,144,196.66666666666683,0.06325759660809827,0.006409142941895373,10.131815442818882
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,7,144,168,104.49999999999997,0.030974972070622244,0.004827355907885473,15.584698177868278
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,8,168,192,75.16666666666666,0.02396573382670646,0.003567152496212648,14.884386691458431
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,9,192,216,100.8333333333333,0.032455747708078915,0.004180997996697742,12.882149671310774
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,10,216,240,211.83333333333334,0.06947159399848651,0.006566536063489471,9.452116592621335
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,11,240,264,358.33333333333326,0.11673365806869092,0.009707051208150226,8.315554715537308
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,12,264,288,381.33333333333314,0.12344371433130924,0.010276489210203427,8.324837976458218
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,13,288,312,275.9999999999999,0.08949945769597664,0.008058489427958284,9.003953359507948
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,14,312,336,189.16666666666674,0.061674626650464574,0.0061255362027612175,9.932019917164874
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,15,336,360,121.83333333333327,0.03940212270192909,0.004662816895349325,11.833923087400157
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,1,0,24,112.99999999999999,0.03648023480769051,0.004493928293492798,12.318803092093637
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,2,24,48,168.00000000000003,0.055570999950801406,0.006712931977850786,12.079919353248881
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,3,48,72,269.0,0.0871839993646933,0.007949129584296156,9.117647323156978
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,4,72,96,286.33333333333326,0.09381539348708878,0.008190166118140312,8.730087689998841
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,5,96,120,261.00000000000006,0.08543563952625369,0.00764356644961219,8.946578374079337
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,6,120,144,109.66666666666661,0.03627551385677315,0.004876453898554586,13.442825145932657
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,7,144,168,57.166666666666686,0.01801169811769203,0.0031123338290096965,17.279513617611656
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,8,168,192,45.5,0.015050479153342048,0.0026725049845624555,17.75694286762299
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,9,192,216,59.5,0.01968139581590883,0.0032197731859334782,16.359475801664825
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,10,216,240,97.66666666666664,0.031557924838717125,0.004115648898273171,13.041570126385022
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,11,240,264,266.33333333333326,0.08091465047366087,0.008591793975133473,10.618341579477319
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,12,264,288,346.8333333333333,0.11218145893144083,0.009646452719308068,8.598972424849148
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,13,288,312,293.00000000000017,0.09422483538892355,0.008550516468257597,9.074588915931118
