Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_higheps_left,7,1,0.1600,0.2080,0.1840,15,180.0000,3.505486,0.008508,2.695023,0.002212,0.778408,0.000191,0.026857,0.000421
Q3p85_W2p62_t0p21_higheps_left,7,2,0.2080,0.2260,0.2170,15,180.0000,3.605655,0.005362,2.671417,0.001395,0.779035,0.000133,0.027670,0.000303
Q3p85_W2p62_t0p21_higheps_left,7,3,0.2260,0.2640,0.2450,15,180.0000,3.730545,0.002863,2.643516,0.000700,0.779349,0.000061,0.030614,0.000151
Q3p85_W2p62_t0p21_higheps_left,7,4,0.2640,0.3020,0.2830,15,180.0000,3.834351,0.002801,2.619533,0.000680,0.779722,0.000047,0.035347,0.000143
Q3p85_W2p62_t0p21_higheps_left,7,5,0.3020,0.3500,0.3260,15,180.0000,3.893519,0.002673,2.605445,0.000649,0.780001,0.000039,0.041924,0.000132
Q3p85_W2p62_t0p21_higheps_left,7,6,0.3500,0.4080,0.3790,15,180.0000,3.928980,0.002844,2.596987,0.000693,0.780196,0.000042,0.049372,0.000148
Q3p85_W2p62_t0p21_higheps_left,7,7,0.4080,0.5000,0.4540,15,180.0000,3.985414,0.003187,2.582707,0.000772,0.780709,0.000047,0.058078,0.000182
Q3p85_W2p62_t0p21_higheps_center,7,1,0.1600,0.2080,0.1840,15,180.0000,3.541299,0.001933,2.690062,0.000461,0.777746,0.000044,0.017588,0.000121
Q3p85_W2p62_t0p21_higheps_center,7,2,0.2080,0.2260,0.2170,15,180.0000,3.675965,0.002467,2.658776,0.000587,0.778459,0.000063,0.021533,0.000152
Q3p85_W2p62_t0p21_higheps_center,7,3,0.2260,0.2640,0.2450,15,180.0000,3.772565,0.001885,2.635732,0.000454,0.779041,0.000040,0.025614,0.000106
Q3p85_W2p62_t0p21_higheps_center,7,4,0.2640,0.3020,0.2830,15,180.0000,3.867147,0.002370,2.612707,0.000576,0.779667,0.000041,0.030872,0.000128
Q3p85_W2p62_t0p21_higheps_center,7,5,0.3020,0.3500,0.3260,15,180.0000,3.930082,0.002643,2.597178,0.000646,0.780101,0.000041,0.037758,0.000143
Q3p85_W2p62_t0p21_higheps_center,7,6,0.3500,0.4080,0.3790,15,180.0000,3.969883,0.002946,2.587535,0.000721,0.780338,0.000044,0.047569,0.000167
Q3p85_W2p62_t0p21_higheps_center,7,7,0.4080,0.5000,0.4540,15,180.0000,3.994215,0.003106,2.581769,0.000763,0.780444,0.000045,0.060878,0.000175
Q3p85_W2p62_t0p21_higheps_right,7,1,0.1600,0.2080,0.1840,15,180.0000,3.494478,0.002030,2.702506,0.000468,0.777064,0.000042,0.019737,0.000130
Q3p85_W2p62_t0p21_higheps_right,7,2,0.2080,0.2260,0.2170,15,180.0000,3.602754,0.003039,2.677403,0.000694,0.777665,0.000068,0.026192,0.000171
