Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,3,48,72,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,4,72,96,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,5,96,120,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,6,120,144,3.0,0.00031494723905476957,0.0001819834074801917,57.78218854255288
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,7,144,168,53.0,0.005836932629679724,0.0008038877156658506,13.772434370378548
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,8,168,192,93.0,0.01019787179573677,0.0010615850387051932,10.409868450679973
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,9,192,216,78.0,0.008494740896296359,0.0009641360430991063,11.349799303701683
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,10,216,240,11.0,0.0012006550171933365,0.0003631633659755522,30.247103520583842
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,11,240,264,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,12,264,288,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,13,288,312,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,14,312,336,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,1,0.16,0.208,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,3,48,72,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,4,72,96,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,5,96,120,2.0,0.0002015487386256609,0.00014252404393545891,70.71443111344432
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,6,120,144,77.0,0.007459626015045841,0.000853575582295487,11.442605575317726
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,7,144,168,196.0,0.018854966233410934,0.0013515978110151899,7.168391575372664
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,8,168,192,232.0,0.022094923946371935,0.0014580868283152458,6.5991936964990945
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,9,192,216,226.0,0.022040072109827405,0.001472702474083007,6.681931287449585
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,10,216,240,72.0,0.007220811304051948,0.0008538678565741523,11.825095832306344
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,11,240,264,5.0,0.000526046992551528,0.00023567282004379776,44.80071616809269
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,12,264,288,1.0,9.823500543188857e-05,9.823500543188857e-05,100.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,13,288,312,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,14,312,336,1.0,0.00011198358699327097,0.00011198358699327097,100.0
Q3p85_W2p62_t0p21_higheps_left,2,0.208,0.226,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,3,48,72,1.0,8.967356439491898e-05,8.967356439491898e-05,100.0
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,4,72,96,9.0,0.0008465483152008345,0.0002830296643796026,33.433374008010034
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,5,96,120,151.0,0.012860119418422071,0.0010515815647198202,8.177074648416045
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,6,120,144,616.0,0.049224423465287985,0.0019987147529495815,4.06041272247512
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,7,144,168,916.0,0.07024271926528293,0.0023464415789692453,3.340476569689068
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,8,168,192,967.0,0.0740747918635228,0.0024187665330387374,3.265303178300024
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,9,192,216,978.0,0.07540536078732397,0.0024384465845689873,3.23378412238683
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,10,216,240,697.0,0.057155675538219534,0.002180598836045965,3.8151921318606687
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,11,240,264,190.0,0.016398022451905338,0.001196249646686181,7.295084820103933
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,12,264,288,10.0,0.000925067266655939,0.0002927963825482416,31.651361268752105
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,13,288,312,1.0,9.185560976463117e-05,9.185560976463117e-05,100.0
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,14,312,336,1.0,0.0001014752112981417,0.0001014752112981417,100.0
Q3p85_W2p62_t0p21_higheps_left,3,0.226,0.264,15,336,360,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,1,0,24,4.0,0.0003271247749006913,0.00016372004687975966,50.048195502606575
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,2,24,48,6.0,0.00046782744071894434,0.0001912597255659501,40.882536790066744
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,3,48,72,14.0,0.0011078475695375496,0.00029652972722464657,26.7662930694001
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,4,72,96,73.0,0.0056350967231345896,0.0006619725228323877,11.747314293909007
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,5,96,120,542.0,0.037358865325445856,0.001616309920913388,4.326442751494617
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,6,120,144,1145.0,0.07159128830765223,0.0021504233389711834,3.003750022949831
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,7,144,168,1232.0,0.07001333669577588,0.002057388986225961,2.938567254930002
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,8,168,192,1324.0,0.07290542032542947,0.0020841041566674787,2.8586408902995397
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,9,192,216,1370.0,0.07967895592322087,0.002216836361340378,2.782210604612509
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,10,216,240,1149.0,0.07357961274937232,0.0022070661148888616,2.9995620151013767
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,11,240,264,614.0,0.0434822130049121,0.001767941558304663,4.065895997761067
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,12,264,288,91.0,0.007112158232467589,0.0007478216822599617,10.514694102924961
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,13,288,312,8.0,0.000640182079112113,0.00022680499403738538,35.42820104429474
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,14,312,336,8.0,0.0006468313558697597,0.0002289111912372976,35.38962500194396
Q3p85_W2p62_t0p21_higheps_left,4,0.264,0.302,15,336,360,5.0,0.0004305689388182448,0.00019285630961375153,44.79104092902567
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,1,0,24,4.0,0.00030133484721485117,0.0001507101060993643,50.01416447262347
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,2,24,48,6.0,0.0004253782179775953,0.00017401212510123943,40.907624731834446
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,3,48,72,29.0,0.002111532354541471,0.0003932439685854852,18.623629789034414
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,4,72,96,210.0,0.013832998464167303,0.0009592670735304042,6.934628641904853
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,5,96,120,1003.0,0.05532611741182692,0.0017753217195258576,3.20883120409666
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,6,120,144,1658.0,0.07580650459961114,0.0019511321359303388,2.573832082399361
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,7,144,168,1903.0,0.07280886439056698,0.0018359117749308703,2.5215498006980708
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,8,168,192,1910.0,0.06770414366682094,0.0017508798964350361,2.586074945503035
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,9,192,216,1908.0,0.07304457965425369,0.001837442062843913,2.5155077509394785
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,10,216,240,1729.0,0.08031633496266942,0.0020300987513179286,2.527628722428018
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,11,240,264,1034.0,0.05947711908454554,0.0018798833385512467,3.160683246744063
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,12,264,288,209.0,0.014179808009539859,0.000985998661287354,6.953540278006558
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,13,288,312,19.0,0.0013708492347367,0.00031491182217887,22.97202450854162
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,14,312,336,10.0,0.0007689839360542312,0.0002444870119127177,31.793513550779263
Q3p85_W2p62_t0p21_higheps_left,5,0.302,0.35,15,336,360,3.0,0.00022498151987133494,0.0001300076294272745,57.78591481719245
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,2,24,48,5.0,0.00043276611200766026,0.00019604514391864092,45.300484136606975
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,3,48,72,16.0,0.001118576828121604,0.00028147237586269503,25.163437037701204
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,4,72,96,295.0,0.01661231298765843,0.0009759807699055877,5.875044436200187
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,5,96,120,1357.0,0.058375453578939314,0.0016506129254285336,2.8275804712959722
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,6,120,144,1885.0,0.05440380809480435,0.0014382165632176342,2.643595390806818
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,7,144,168,1836.0,0.034927250031277585,0.0011436412253861695,3.274352330521387
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,8,168,192,1484.0,0.02901505056728985,0.0011413985235659047,3.9338153863245773
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,9,192,216,1889.0,0.03946562983003482,0.001260152811854625,3.193038644718655
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,10,216,240,1965.0,0.05845583971568307,0.00152393034480728,2.606977082562422
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,11,240,264,1469.0,0.06533772213158412,0.0017774362902519005,2.720383007341928
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,12,264,288,311.0,0.017876604282528425,0.0010246852783795152,5.731990607304454
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,13,288,312,16.0,0.0011788019717988239,0.00029696178247661214,25.19182946593273
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,14,312,336,3.0,0.0002528729604016462,0.00014749620653781173,58.328184359268306
Q3p85_W2p62_t0p21_higheps_left,6,0.35,0.408,15,336,360,2.0,0.0001668394513935709,0.00011829544283101009,70.90375917860909
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,1,0,24,2.0,0.00015570475150381447,0.00011010076854471526,70.71124514913599
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,2,24,48,1.0,7.860367413066644e-05,7.860367413066644e-05,100.0
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,3,48,72,17.0,0.0011579353281175977,0.00028370797245944935,24.50119325063347
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,4,72,96,506.0,0.023864861358271136,0.0010831823298710736,4.538816771695436
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,5,96,120,2043.0,0.05859358789258112,0.0014159792394565713,2.416611254549675
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,6,120,144,2316.0,0.027329137692209172,0.0009904788859056702,3.624259561574202
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,7,144,168,918.0,0.009373355948291537,0.0007496898236507347,7.99809404215978
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,8,168,192,418.0,0.008679436055744907,0.0006625886506420004,7.634005785473054
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,9,192,216,875.0,0.009560794473712476,0.0007580685633357759,7.928928557350488
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,10,216,240,2316.0,0.02645307516183888,0.000976670343916302,3.692086224157573
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,11,240,264,2018.0,0.06043210447633575,0.0014932150139288032,2.470896929484762
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,12,264,288,509.0,0.024574236419957398,0.0011122616993889214,4.526129237064
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,13,288,312,9.0,0.0006416319350573756,0.0002154668972976591,33.581074370681335
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,14,312,336,3.0,0.0002429287353326496,0.00014028518922425576,57.747466157990345
Q3p85_W2p62_t0p21_higheps_left,7,0.408,0.5,15,336,360,1.0,9.058755814673227e-05,9.058755814673227e-05,100.0
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,1,0,24,121.0,0.016601089924494154,0.0015147901140393958,9.124642544128333
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,2,24,48,146.0,0.01948744596677666,0.001619968697895043,8.312883590065422
Q3p85_W2p62_t0p21_higheps_center,1,0.16,0.208,3,48,72,231.0,0.030655434561692518,0.0020266861952700777,6.611180771851314
