COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total,CoinBlocking_SysIn,CoinBlocking_SysOut
133361,1241401,1,0.997988940267032,3.8242498205599E-05,0.99805375514152,1.17874736066575E-19,684,74382764,95285895,1025,0.987674988406399,0.001375582668248,0.9933,0.0004,2049,,,1025,1,,0.997984240870389,1.21188020024835E-19,,119578175,119578175,2049,0.987674988406399,0.001375582668248,0.9883,0.0052,5302,43697,53224,114653,101200,45341.3476165169,0.999584529585505,993631,993631,538,344643,302175,433,16258,5690,5690,570.848136,1369569,0.961837430752982,921598,958164,864094,929444
138543,1266321,1,0.995388604781654,5.72546120826284E-05,0.998072829907108,1.1302407673951E-19,375,76095943,97426555,1025,0.987744675481065,0.001363992300475,0.9937,0.0004,2049,,,1025,1,,0.997998265713144,1.1523696605113E-19,,122292801,122292801,2049,0.987744675481065,0.001363992300475,0.9898,0.0051,5459,44181,54512,116188,104255,46370.3950755231,0.999583058467315,1011644,1011644,281,350957,308463,227,16259,5839,5839,585.871018,1397089,0.962247016352536,940914,977830,882390,948770
137272,1289386,1,0.994430030722975,6.23461848108691E-05,0.998051143193144,1.08764610150441E-19,370,77051309,98656278,1025,0.987664289700108,0.001364307322302,0.9936,0.0004,2049,,,1025,1,,0.997976327896737,1.133690308311E-19,,123794553,123794553,2049,0.987664289700108,0.001364307322302,0.9922,0.0045,5459,44856,55592,118812,105224,46964.9298499014,0.999585495731044,1034030,1034030,276,357986,313925,228,16260,5879,5879,589.914058,1425903,0.961960781161453,957378,995236,898213,965530
139877,1314959,1,0.997963025117749,3.73953355398422E-05,0.998054916006094,1.05761496907835E-19,472,78824614,100905100,1025,0.987711330588917,0.001353973945445,0.9937,0.0004,2049,,,1025,1,,0.997982577778929,1.08051669804738E-19,,126642590,126642590,2049,0.987711330588917,0.001353973945445,0.9952,0.0034,5596,45668,56806,120503,107863,48037.9653259032,0.999584757308773,1050620,1050620,355,364160,319354,290,16261,6023,6023,604.467091,1450371,0.961877896513047,975904,1014582,914538,984121
226400,1300981,1,0.998483088968872,3.14845463067162E-05,0.999494441625864,1.4124245474302E-20,1037,128937937,164251927,1025,0.993743915700653,0.00085258658289,0.9953,0.0003,2049,,,1025,1,,0.999474852118918,1.45324800993066E-20,,207286343,207286343,2049,0.993743915700653,0.00085258658289,0.9968,0.0022,18573,39013,91087,103852,167987,76900.11609602,0.999168093084422,1104851,1104851,1505,361205,318314,1217,16266,19318,19318,1938.598133,1525856,0.97374868538932,999962,1026920,947833,1006419
427151,413863,1,0.99705761188725,5.9029055071819E-05,0.999871581399356,2.23226780482503E-20,6880,60938586,77436199,257,0.996860485000485,0.000727755701923,0.9967,0.0002,513,,,257,1,,0.999866860347412,2.30797515906024E-20,,97970809,97970809,513,0.996860485000485,0.000727755701923,0.9912,0.0026,17843,9578,42364,25254,77429,36175.6035929455,0.998339202411989,505267,505267,4988,153599,135630,4028,16268,18143,18143,1820.616824,842601,0.982488151948958,320916,326636,308454,322329
542847,527136,1,0.997144177091833,5.15225400026184E-05,0.999871535536855,1.38432002261097E-20,8748,77698869,98729438,257,0.996866029999441,0.000684419789439,0.9967,0.0001,513,,,257,1,,0.999867250995188,1.4199013609946E-20,,124799730,124799730,513,0.996866029999441,0.000684419789439,0.9919,0.0023,22680,11937,53763,31879,97508,46108.4631180202,0.998338150699843,641513,641513,6366,193967,170908,5148,16269,23144,23144,2321.979308,1069306,0.982531929065827,407118,414356,391444,408921
31532,25191,1,0.997459627933585,0.000211622592763,0.999952649360761,1.91152006404876E-18,536,4470867,5678767,257,0.998132408540375,0.001078444463002,0.9973,0.0006,513,,,257,1,,0.999951550071612,2.00510716051474E-18,,7178597,7178597,513,0.998132408540375,0.001078444463002,1,,2204,413,3076,1110,5548,2649.17582503735,0.997242417418294,32661,32661,661,9742,8585,533,16270,2206,2206,221.373367,56961,0.986468340047516,19100,19362,18563,19169
627018,350536,1,0.997139342132179,5.38578568371573E-05,0.999953059986064,9.98720552914222E-21,6243,62416674,79245499,257,0.99810480975105,0.000562018906087,0.9968,0.0002,257,,,257,1,,0.999951621112574,1.02830908628076E-20,,100225552,100225552,257,0.99810480975105,0.000562018906087,0.9961,0.0013,30393,5821,43302,15380,77951,36972.6948184644,0.997240547060718,453335,453335,7477,183748,161757,12033,16271,30816,30816,3091.64883,979601,0.987100764732344,263319,266760,255505,264189
644155,357599,1,0.997150669424332,5.31354466706058E-05,0.999953138815586,9.52811930125922E-21,6427,63988157,81243034,257,0.998116440285783,0.000556840526791,0.9968,0.0002,257,,,257,1,,0.99995178775547,9.76390550254101E-21,,102732454,102732454,257,0.998116440285783,0.000556840526791,0.9934,0.0016,31281,5927,43987,15890,79768,37896.7881596979,0.997235988922951,463064,463064,7707,188273,165599,12399,16272,31637,31637,3174.155826,1003777,0.987411925659939,269207,272639,261092,270080
