COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_SysIn,CoinBlocking_SysOut,CoinBlocking_Total,ELT2_HMS,ELT2_SHMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,SysUncer_CoinBlocking_Corr,SysUncer_CoinBlocking_Corr_down,SysUncer_CoinBlocking_Corr_up,TLT,TLT_ELT,TLT_ELT_HMS,TLT_ELT_SHMS,Uncer_CoinBlocking_Corr,accp_edtm,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rateCOINCorr,rateCOINCorrUncer,rateHMSCorr,rateSHMSCorr,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncer_boilingCorrStat,uncer_boilingCorrSys,uncer_rateHMSCorr,uncer_rateSHMSCorr,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
133361,1241401,1,0.935508624301429,0.9355737868535935,0.997988940267032,0.997988940267032,3.8242498205599e-05,0.988507186661156,947152,944072,948085,958164,0.99283337938411,0.9884788979585982,0.99805375514152,1.17874736066575e-19,684,74382764,95285895,1025,0.987674988406399,0.001375582668248,74377074,0.9933,0.0004,2049,,,1025,1,,0.997984240870389,1.2118802002483501e-19,,119578175,119578175,2049,0.987674988406399,0.001375582668248,119572485,0.9883,0.0052,0.002094109150416801,-0.003214481028299798,0.0009737372725338034,0.9318101933216169,0.9940388193767544,0.9960466094232173,0.9959772349494379,0.00010888878886599937,5302,0.9777693892726522,43697,53224,114653,101200,45341.3476165169,0.999584529585505,79.42803831195641,96.91564147627417,993631,993631,538,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,155.92565905096663,344643,302175,433,1,,0.99805375514152,0.997984240870389,2174.660687689449,130302.19301618251,166919.8671080534,209474.58257094145,209474.58257094145,341951.43627481343,16258,5690,5.5512195121951216,5690,2.776964372864812,570.848136,1369569,8.2765901786991e-06,1.8217323394548422e-06,6.454857839244258e-06,1.17874736066575e-19,1.2118802002483501e-19,3.7186602860261026e-05,0.0008975196270588131,6.613803605200201e-05,3.8242498205599e-05,0.00014436703609493326,0.00010244380274025717,0.001003199792748254,0.00011594815537932277,0.001003199792748254,9.144796373769642e-05,0.0017033946111892936,9.144796373769642e-05,0.0018191593151460604,0.003461812935604958,1.4683887653472857e-09,1.4683887653472857e-09,1.4683887653472857e-09,62.496907077450395,0.003190289556337627,0.0013783645692677358,0.007536026394468441,0.0010414422909538529,0.0014414422909538528,0.0033443022108426168,0.0031954287475013474,0.0033681385478401588,0.0031200016786624386,0.00832000167866244,0.003616559228701419,0.003191599016676767,0.006333995631093015,0.9075010909816773,3.161086181176666,0.9816622755216722,7.130111308267181,7.155235026760019,7.157764450482712,0.9963720586492506,7.182985607813517,12.1593877629261,12.183342977133933,12.466986917583208,1.0013162903524533,12.49154813299633,1.8635570657931066,27.26484058675772,1.1465027854403653,22516.93735231525,22668.818435835346,22606.415371570292,1693.7854567985685,22758.900001580885,15612.474500811526,13850.709335420494,16063.271706796504,2735.204374977325,14250.637038680667
138543,1266321,1,0.9410652162616397,0.9411355267739211,0.995388604781654,0.995388604781654,5.72546120826284e-05,0.974584539234836,952978,948770,956580,977830,0.9928563169427849,0.988519479802976,0.998072829907108,1.1302407673951e-19,375,76095943,97426555,1025,0.987744675481065,0.001363992300475,76090104,0.9937,0.0004,2049,,,1025,1,,0.997998265713144,1.1523696605113e-19,,122292801,122292801,2049,0.987744675481065,0.001363992300475,122286962,0.9898,0.0051,0.003993536708834844,-0.004303406522605857,0.0036836668950638307,0.9349203630758691,0.9914816580259292,0.9934703216317133,0.9933961012827168,0.0001591574872048662,5459,0.9778478593850837,44181,54512,116188,104255,46370.3950755231,0.999583058467315,79.14778791041529,49.3277958554547,1011644,1011644,281,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,79.65798938174345,350957,308463,227,1,,0.998072829907108,0.997998265713144,2161.433081846011,129885.14649482114,166293.5219642491,208736.73085498143,208736.73085498143,340783.31043164857,16259,5839,5.696585365853658,5839,2.8496827720839435,585.871018,1397089,8.218263511767235e-06,1.8088942535881953e-06,6.40936925817904e-06,1.1302407673951e-19,1.1523696605113e-19,3.905208731835602e-05,0.0008886445781262554,6.298079894916251e-05,5.72546120826284e-05,0.00014390164891556613,0.00010131210219114312,0.0009942283551487134,0.00011463553135743012,0.0009942283551487134,9.042729794446774e-05,0.0016880023444613321,9.042729794446774e-05,0.0018005221190857878,0.003338514932285996,3.3085341661330503e-09,3.3085341661330503e-09,3.3085341661330503e-09,63.91530938969192,0.003181424353518388,0.0013783645639766891,0.008230214886899269,0.0010514829672313417,0.0014514829672313417,0.0033331593030248873,0.003186220546761276,0.003357074759272029,0.003123621520520471,0.008223621520520471,0.0036015014691190383,0.0031827044427360477,0.0062434616065181825,0.9199136048287315,3.1529010325539417,0.9938641376223509,7.116823873851891,7.139025900629532,7.1441885427264245,0.9965789494452065,7.166475937797826,12.139016064221984,12.174179316849674,12.444513481042284,1.001188066113738,12.480561672184587,1.8890462118820777,27.194242457005235,1.1607535814980554,22474.975549004386,22617.46558217207,22563.538491238745,1694.137161383511,22706.59000829098,15586.317540218004,13840.291571159567,16034.315478661447,2734.8541165204406,14238.103438865743
137272,1289386,1,0.9355836134372829,0.9356537513387503,0.994430030722975,0.994430030722975,6.23461848108691e-05,0.988655956979048,983946,980932,984878,995236,0.9928162044326124,0.9884581485681427,0.998051143193144,1.08764610150441e-19,370,77051309,98656278,1025,0.987664289700108,0.001364307322302,77045430,0.9936,0.0004,2049,,,1025,1,,0.997976327896737,1.1336903083110001e-19,,123794553,123794553,2049,0.987664289700108,0.001364307322302,123788674,0.9922,0.0045,0.0019824443649546497,-0.0030284274282680324,0.0009364613016412671,0.9285592787889096,0.9904835505568832,0.9924920289886585,0.9924176304111539,0.00010615574135310025,5459,0.9777175516097355,44856,55592,118812,105224,46964.9298499014,0.999585495731044,79.61317282237306,48.12042864432727,1034030,1034030,276,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,79.46453478482735,357986,313925,228,1,,0.998051143193144,0.997976327896737,2185.71838137141,130614.46486159177,167238.391189518,209851.84421558573,209851.84421558573,342652.0274585489,16260,5879,5.735609756097561,5879,2.8692044899951195,589.914058,1425903,8.3152341293171e-06,1.8302381290423053e-06,6.484996000274796e-06,1.08764610150441e-19,1.1336903083110001e-19,3.63156297017929e-05,0.0008806605148192539,6.125379133037272e-05,6.23461848108691e-05,0.000144715518044814,0.00010067870867945664,0.000983407306100866,0.00011392262657247198,0.000983407306100866,8.987713747687691e-05,0.0016713483564774895,8.987713747687691e-05,0.0017847896899850985,0.003485950252069944,3.9307127099096055e-09,3.9307127099096055e-09,3.9307127099096055e-09,64.73479353046113,0.0031967254533008596,0.0013783645315208534,0.007035864886500679,0.001045753490911735,0.001445753490911735,0.003344569262771204,0.0032014127907971494,0.003368403709989929,0.003112059072809043,0.007612059072809043,0.0036072786075490985,0.003197981841360729,0.005767361524343811,0.9149974680486241,3.1698447431372556,0.9917537272848391,7.189126735458448,7.212280122690198,7.217084871992009,0.9965092518180643,7.240328301531436,12.237145183035242,12.21504970986374,12.547608417115503,1.0008681035323026,12.524952369401756,1.878950905635047,27.340384492218668,1.158288791528314,22703.30845080639,22849.545542276963,22793.767455860434,1694.0186787080866,22940.587214030227,15712.31388108068,13886.755331978307,16167.149657496053,2733.9801039222207,14288.745337467954
139877,1314959,1,0.9328159291802001,0.9328835438381016,0.997963025117749,0.997963025117749,3.73953355398422e-05,0.988490826764126,1002905,999657,1003889,1014582,0.9928278084373,0.9884768872388455,0.998054916006094,1.05761496907835e-19,472,78824614,100905100,1025,0.987711330588917,0.001353973945445,78818591,0.9937,0.0004,2049,,,1025,1,,0.997982577778929,1.08051669804738e-19,,126642590,126642590,2049,0.987711330588917,0.001353973945445,126636567,0.9952,0.0034,0.002085587956419499,-0.00320131837544968,0.0009698575373893181,0.9291050971276772,0.994012506490871,0.9960219032110824,0.9959497123350692,0.0001058924041961154,5596,0.9777571927148436,45668,56806,120503,107863,48037.9653259032,0.999584757308773,79.4715974469869,60.41424539266146,1050620,1050620,355,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,98.65681554042837,364160,319354,290,1,,0.998054916006094,0.997982577778929,2175.4021345059464,130403.48295818143,166932.3301506252,209511.14111189885,209511.14111189885,342090.0262045862,16261,6023,5.87609756097561,6023,2.9394826744753537,604.467091,1450371,8.285674373747797e-06,1.823731830977319e-06,6.461942542770478e-06,1.05761496907835e-19,1.08051669804738e-19,3.728267013440163e-05,0.0008720550352741773,5.9552519056811585e-05,3.73953355398422e-05,0.00014448006999298184,9.95504990338285e-05,0.0009756120776043744,0.0001126338874549035,0.0009756120776043744,8.886077734672975e-05,0.001657119698211433,8.886077734672975e-05,0.0017695539988893745,0.0034308448148384243,1.4041256313307921e-09,1.4041256313307921e-09,1.4041256313307921e-09,66.21382705106396,0.0031917028764061614,0.0013783645206839677,0.006369457926241969,0.0010130074131442166,0.0014130074131442165,0.00333748201152106,0.0031967364622152053,0.0033613667126968848,0.0030728795544350835,0.006472879554435084,0.003596249844693704,0.003192938736414874,0.004949041618885366,0.9159437756460856,3.1604400492615023,0.9877945321165895,7.116031131812019,7.138230685508926,7.14363326159093,0.9966167627433293,7.165918924377416,12.12705884532925,12.069234513783757,12.43402224598255,1.0009581051021297,12.374734249283115,1.8808941520147902,27.259267602455726,1.153664769192233,22472.472064545782,22614.94622576812,22561.784743111963,1694.2014422049954,22704.825141503432,15570.964647563931,13720.98441824948,16020.797893344446,2734.225953000996,14117.37315175872
226400,1300981,1,0.9633826041891623,0.9634014862952768,0.998483088968872,0.998483088968872,3.14845463067162e-05,0.994353990573754,1021122,1018673,1021603,1026920,0.996341899636504,0.9941190757016993,0.999494441625864,1.4124245474302e-20,1037,128937937,164251927,1025,0.993743915700653,0.00085258658289,128918619,0.9953,0.0003,2049,,,1025,1,,0.999474852118918,1.45324800993066e-20,,207286343,207286343,2049,0.993743915700653,0.00085258658289,207267025,0.9968,0.0022,0.0014265960347446538,-0.002384801152961691,0.0004683909165276168,0.9614349311522932,0.9974542112935222,0.9979782974818106,0.9979587376904037,7.393890317579999e-05,18573,0.988902228113238,39013,91087,103852,167987,76900.11609602,0.999168093084422,39.66789959557854,79.85428098146805,1104851,1104851,1505,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,129.0833937260586,361205,318314,1217,1,,0.999494441625864,0.999474852118918,671.0937031527617,66510.91569992759,84727.16660766535,106925.89633273933,106925.89633273933,174107.90573581966,16266,19318,18.846829268292684,19318,9.428013665202538,1938.598133,1525856,2.0626248748127795e-06,4.5399740216918034e-07,1.6086274726435994e-06,1.4124245474302e-20,1.45324800993066e-20,1.5587018933084648e-05,0.0008767272857404562,2.6515224327668433e-05,3.14845463067162e-05,7.343062386176063e-05,7.80269737546885e-05,0.0009513671324183218,8.806627789983789e-05,0.0009513671324183218,6.945678152139496e-05,0.0016638842977749714,6.945678152139496e-05,0.0017724423974775473,0.0014129148011135918,9.94290869834702e-10,9.94290869834702e-10,9.94290869834702e-10,105.9968116900558,0.001990859858149017,0.001378369982663191,0.0036553312986402635,0.000982851678725038,0.001282851678725038,0.0022064955008870876,0.0019939098298927976,0.0022267964422988825,0.003073738826744714,0.005273738826744714,0.002594616336025658,0.001992070331357484,0.0034017692354378196,0.9681516526740259,1.933934085597039,1.0049341993638075,4.674210884739544,4.681255309864743,4.678587509323127,1.0022385413036852,4.685638530386107,7.513277192217626,7.502013783996272,7.582972180287551,1.0050381018947594,7.5716042899498675,1.9881032331854045,16.680470422819344,1.1736825255331433,14761.188025375837,14830.893223526413,14776.414244934584,1703.7582003298483,14846.19134425257,9646.937071838114,8528.711089186972,9770.391457236808,2745.3709080812396,8637.855243224456
427151,413863,1,0.9864936557151676,0.9864983136231108,0.99705761188725,0.99705761188725,5.9029055071819e-05,0.997177286030933,325714,325236,325783,326636,0.9981590732405535,0.9970403467528322,0.999871581399356,2.23226780482503e-20,6880,60938586,77436199,257,0.996860485000485,0.000727755701923,60920443,0.9967,0.0002,513,,,257,1,,0.999866860347412,2.3079751590602403e-20,,97970809,97970809,513,0.996860485000485,0.000727755701923,97952666,0.9912,0.0026,0.000837323503839138,-0.0014634026867823557,0.00021124432089592027,0.983464697128369,0.996796840287213,0.9969295711439699,0.996924863983193,9.282983974218688e-05,17843,0.9944456481049353,9578,42364,25254,77429,36175.6035929455,0.998339202411989,19.869971053802313,70.6562310532988,505267,505267,4988,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,113.89318194344925,153599,135630,4028,1,,0.999871581399356,0.999866860347412,227.32021068042158,33471.39562629901,42532.947064538384,53811.87722123346,53811.87722123346,87510.5930582129,16268,18143,70.59533073929961,18143,35.36647173489279,1820.616824,842601,5.166726196244136e-07,1.137230677456057e-07,4.0294955187880786e-07,2.23226780482503e-20,2.3079751590602403e-20,3.172496357845496e-05,0.0015544318963311345,6.248549587181671e-05,5.9029055071819e-05,3.6886440424166984e-05,0.00011363915255500559,0.0014068232358288347,0.0001281013815673061,0.0014068232358288347,0.0001010303023899433,0.0025515601212724322,0.0001010303023899433,0.002715326881561408,0.0009546661564068119,3.5050252868753357e-09,3.5050252868753357e-09,3.5050252868753357e-09,49.86420390701561,0.0015556816188865548,0.0013783931421927841,0.0033391395663292583,0.0014658522909006537,0.0016658522909006538,0.002097450098621947,0.0015602598653753305,0.002106963909564949,0.003988982318531918,0.006588982318531918,0.002988411677096897,0.0015589521562248475,0.003961136749950586,0.9959844745010266,1.2703619071849837,1.003161777038808,1.1418968722157046,1.1420114399765369,1.1420870135017653,0.9997864503785946,1.1422016003396807,1.7042431417422568,1.7147156977810598,1.708478279771057,1.0015390564381905,1.7189768606881488,2.045258042465645,10.957061244687509,1.17161247844744,3606.117663923889,3618.057252858321,3607.0610588416253,1699.5897615306947,3619.003771286872,2188.223051390784,1949.385219428113,2201.313837461129,2735.812884774056,1961.0471863651703
542847,527136,1,0.9828844564061978,0.9828886681747133,0.997144177091833,0.997144177091833,5.15225400026184e-05,0.997263222929075,413222,412557,413308,414356,0.9981595711123366,0.9970439077013515,0.999871535536855,1.38432002261097e-20,8748,77698869,98729438,257,0.996866029999441,0.000684419789439,77675725,0.9967,0.0001,513,,,257,1,,0.999867250995188,1.4199013609946e-20,,124799730,124799730,513,0.996866029999441,0.000684419789439,124776586,0.9919,0.0023,0.0009062255644904371,-0.0016049001341836844,0.00020755099479718986,0.9799516073280332,0.9968837266081095,0.9970160795004448,0.99701180719467,8.11592073969778e-05,22680,0.9944491690602784,11937,53763,31879,97508,46108.4631180202,0.998338150699843,19.857396213291405,70.69054614586933,641513,641513,6366,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,114.1083650190114,193967,170908,5148,1,,0.999871535536855,0.999867250995188,227.0201108958375,33462.34341206283,42519.51671569332,53747.13270270021,53747.13270270021,87436.49622565888,16269,23144,90.05447470817121,23144,45.1150097465887,2321.979308,1069306,5.160177800894373e-07,1.1357893322579439e-07,4.0243884686364294e-07,1.38432002261097e-20,1.4199013609946e-20,2.518401440121357e-05,0.0013773320758554324,4.947321958518014e-05,5.15225400026184e-05,3.6876446230185355e-05,0.00010064139954705798,0.0012485250755331345,0.00011344690479888966,0.0012485250755331345,8.951445608552292e-05,0.0022705761701600777,8.951445608552292e-05,0.002418904954156231,0.0009307232642818009,2.6697993021886775e-09,2.6697993021886775e-09,2.6697993021886775e-09,63.55557925507376,0.0015552024401134757,0.001378392923062947,0.003112095979447384,0.001300047615535753,0.001400047615535753,0.001994359419455241,0.00155891465543424,0.001996864916305018,0.003700491633223167,0.006000491633223167,0.0027521211409081603,0.0015577715623316688,0.0035866656903360307,0.9838426220146435,1.269400608118385,1.002320995954624,1.137389732246943,1.1375038478014978,1.1375787307603413,1.0001459301621713,1.1376928652773233,1.6883749827573473,1.6939089004661554,1.6925634498736444,1.0009607922213732,1.6981110959500159,2.02032470054719,10.948769896617634,1.1706305135915018,3591.8840869253017,3603.77654953878,3592.822519285013,1700.2008601902264,3604.7180889786423,2167.8485693562457,1925.7308823261674,2180.808142019271,2734.233293159527,1937.2430560322625
31532,25191,1,1.0016853451067953,1.0016864463019788,0.997459627933585,0.997459627933585,0.000211622592763,0.99814068794546,19326,19302,19329,19362,0.9988892173962372,0.9982164844834293,0.999952649360761,1.9115200640487598e-18,536,4470867,5678767,257,0.998132408540375,0.001078444463002,4468661,0.9973,0.0006,513,,,257,1,,0.999951550071612,2.00510716051474e-18,,7178597,7178597,513,0.998132408540375,0.001078444463002,7176391,1.0,,0.0006972420204524044,-0.0012395413696929536,0.00015494267121185512,0.99909338168631,0.9973640730233511,0.9974123975825873,0.9974113010860417,0.00030959712161153545,2204,0.9966584790613074,413,3076,1110,5548,2649.17582503735,0.997242417418294,11.967003352473515,77.00679963735267,32661,32661,661,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,123.94786944696284,9742,8585,533,1,,0.999952649360761,0.999951550071612,113.79417651446752,20196.04734114199,25652.43993420401,32427.554846739986,32427.554846739986,52737.396364396445,16270,2206,8.583657587548638,2206,4.300194931773879,221.373367,56961,1.869980390002324e-07,4.1159509263924136e-08,1.4583852973630827e-07,1.9115200640487598e-18,2.00510716051474e-18,0.0004935697456282412,0.006300533079152696,0.0010155392425591622,0.000211622592763,2.2240356276109987e-05,0.00041963622840470577,0.005533313302775432,0.0004729379066094979,0.005533313302775432,0.0003732331528193756,0.010131551057576162,0.0003732331528193756,0.01079269366094211,0.0006410759575580851,4.5012528419493076e-08,4.5012528419493076e-08,4.5012528419493076e-08,3.652075412068344,0.0014602968738610118,0.001378570436004393,0.001969425371319349,0.005744935895538432,0.006344935895538432,0.005722763585765472,0.0015204010393405078,0.005754130955979651,0.011721744063655105,0.011721744063655105,0.01023624900948411,0.001507163405740583,0.01023624900948411,0.9944905131112924,1.008710067781777,0.9832476878387443,1.0086552152469221,1.0081495222682564,1.0120856167599523,0.9995071325969195,1.01157820393695,1.4770615869461077,1.4700945471997584,1.4770745616828513,0.9995994414236543,1.4701074607369506,2.0421901868657693,8.700275038401644,1.148354419839404,3185.339654581159,3193.9633556413905,3196.4767774000175,1699.1149344896114,3205.1306301012905,1896.5252866296362,1671.28614100959,1903.1583310675785,2730.514615361437,1677.131417800776
627018,350536,1,0.9891492800150015,0.9891507033445373,0.997139342132179,0.997139342132179,5.38578568371573e-05,0.992064027590343,264643,264189,265026,266760,0.9988896161049442,0.9982170014567923,0.999953059986064,9.98720552914222e-21,6243,62416674,79245499,257,0.99810480975105,0.000562018906087,62385858,0.9968,0.0002,257,,,257,1,,0.999951621112574,1.02830908628076e-20,,100225552,100225552,257,0.99810480975105,0.000562018906087,100194736,0.9961,0.0013,0.0015688259109311598,-0.0017019043334828288,0.0014357474883794907,0.9862733644859814,0.9970442981699915,0.9970925363975632,0.997091101640198,0.0001717946248600127,30393,0.9966607502075258,5821,43302,15380,77951,36972.6948184644,0.997240547060718,11.95889211597955,62.356860072689514,453335,453335,7477,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,100.35309579439253,183748,161757,12033,1,,0.999953059986064,0.999951621112574,113.38157057119582,20188.798091923007,25632.11521018705,32418.155331050322,32418.155331050322,52720.33499354453,16271,30816,119.90661478599222,30816,119.90661478599222,3091.64883,979601,1.8674392984534516e-07,4.110357815764374e-08,1.4564035168770142e-07,9.98720552914222e-21,1.02830908628076e-20,3.527259391182622e-05,0.0016890157007778345,7.210810437851788e-05,5.38578568371573e-05,2.223236436045085e-05,0.00011233438131857727,0.0014852185842862996,0.00012657551079653983,0.0014852185842862996,9.988741441851559e-05,0.0023328600699508793,9.988741441851559e-05,0.0024863854639185813,0.0006674118575156769,2.9173358690860016e-09,2.9173358690860016e-09,2.9173358690860016e-09,50.964875135273594,0.0014456055909193878,0.0013784463206109817,0.0027141712069219132,0.0015390764411234569,0.001739076441123457,0.0020725949357282957,0.0014503012882110227,0.0020822223146452394,0.003765164247390597,0.005065164247390596,0.0027444510617732646,0.0014490467048823511,0.003036776519678127,1.0019866082279691,1.0053612532445075,1.015260989022014,1.0034655743237677,1.0034655743237677,1.0034658206587055,0.999824537245894,1.0034658206587053,1.0003657733955753,0.9985063609420323,1.0003717282146154,0.9999863308725139,0.9985123046926564,2.0575834477217194,8.671391012696505,1.185743387402872,3168.9507351806737,3179.123931762313,3169.2528176803194,1699.6545074068629,3179.4269840292122,1284.4548946981338,1135.1581746432942,1288.9435903269612,2731.5714459786445,1139.1251333567386
644155,357599,1,0.9916191395603,0.9916204793619645,0.997150669424332,0.997150669424332,5.31354466706058e-05,0.998342130069432,272187,271856,272223,272639,0.9988912489405302,0.9982199093933204,0.999953138815586,9.52811930125922e-21,6427,63988157,81243034,257,0.998116440285783,0.000556840526791,63956520,0.9968,0.0002,257,,,257,1,,0.99995178775547,9.76390550254101e-21,,102732454,102732454,257,0.998116440285783,0.000556840526791,102700817,0.9934,0.0016,0.0006730511775644432,-0.001214059617295593,0.00013204273783329334,0.9887473527831336,0.9970558691438615,0.9971039417629235,0.9971025945524244,7.791497517224309e-05,31281,0.9966662722106437,5927,43987,15890,79768,37896.7881596979,0.997235988922951,11.939170676272242,62.607042387078415,463064,463064,7707,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674,100.72203432689572,188273,165599,12399,1,,0.999953138815586,0.99995178775547,112.65956040054851,20159.11017217968,25595.1624474532,32365.283757811325,32365.283757811325,52637.053490391554,16272,31637,123.1011673151751,31637,123.1011673151751,3174.155826,1003777,1.8612681646673946e-07,4.096774741996675e-08,1.451590690467727e-07,9.52811930125922e-21,9.76390550254101e-21,3.4372307862577014e-05,0.0016722524933889076,7.092464327343299e-05,5.31354466706058e-05,2.2199635058287457e-05,0.00011094479529433626,0.0014695334989225455,0.00012501156703504502,0.0014695334989225455,9.86611489787948e-05,0.0023046553002489634,9.86611489787948e-05,0.0024573733555316953,0.0005963891097168896,2.8395341827370398e-09,2.8395341827370398e-09,2.8395341827370398e-09,52.23869748444595,0.0014453654502410815,0.0013784465655667583,0.002377030720953671,0.0015226689455931513,0.0017226689455931514,0.0020612156581022636,0.0014499525737957605,0.0020708959387680365,0.003736237312478395,0.0053362373124783945,0.0027203891886485743,0.0014487232822655862,0.003156028728911708,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0535039398985497,8.625149402478106,1.1679197765148854,3158.0064291853955,3168.144491558382,3158.3066930968566,1699.9527858045103,3168.4457193989333,1283.9852470544502,1136.856227507994,1288.4646316698354,2731.6087846873647,1140.822329382674
