COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total
,173474,,0.815342914921516,0.001354829489311,0.999955055716516,1.55644193676517E-18,113310,5918630,7257252,9,0.99817891996778,0.00106203692923,0.9972,0.0023,,,,9,,,-1,,,8127129,8127129,,0.99817891996778,0.00106203692923,0.9851,0.0198,18089,,,,,19812.6263007163,0.999585386019333,496046,496046,18089,-1,-1,-1,16727,161798,17977.5555555556,248.927026,657461,,,
,397782,,0.81504950116418,0.000894742367866,0.9999548451504,2.95725392277645E-19,261503,13566996,16631023,9,0.998201793256689,0.000857748633724,0.9971,0.0016,,,,9,,,-1,,,18632390,18632390,,0.998201793256689,0.000857748633724,0.9859,0.014,41087,,,,,45410.3428026832,0.999585229419499,1137789,1137789,41087,-1,-1,-1,16728,370980,41220,570.753765,1509584,,,
,38504,,0.807614700364639,0.000837308936459,0.999975030276892,4.71374244198667E-19,256549,8453687,10411388,5,0.998669855766415,0.000829247539219,0.9972,0.0015,,,,5,,,-1,,,11673783,11673783,,0.998669855766415,0.000829247539219,0.9968,0.0151,4904,,,,,28795.2287720184,0.999442323160266,1294866,1294866,4904,-1,-1,-1,16729,25099,5019.8,486.619157,1676901,,,
,21027,,0.810355186311564,0.000900199670928,0.999995515017269,4.65401208214294E-19,226647,4412450,5431037,3,0.999420268706118,0.000644046421232,0.9976,0.0016,,,,3,,,-1,,,6085604,6085604,,0.999420268706118,0.000644046421232,0.9961,0.0253,6026,,,,,15065.0941716905,0.998671627685899,1137613,1137613,6026,-1,-1,-1,16731,18223,6074.33333333333,606.425879,1467024,,,
,12343,,0.810961696062712,0.001446779263895,0.999998333502523,1.43819525940089E-18,89116,1711053,2104875,3,0.999646924780433,0.0006369756057,0.9979,0.0026,,,,3,,,-1,,,2355220,2355220,,0.999646924780433,0.0006369756057,0.9972,0.0526,3912,,,,,5829.6920439807,0.997790785920451,438910,438910,3912,-1,-1,-1,16732,11704,3901.33333333333,390.273871,566749,,,
,12524,,0.812323151475972,0.000971684318373,0.999998344694817,6.55523565097578E-19,197118,2533984,3118488,2,0.999636173819081,0.000586081522053,0.9976,0.0018,,,,2,,,-1,,,3490212,3490212,,0.999636173819081,0.000586081522053,0.9975,0.035,5744,,,,,8643.95960642169,0.997791251426856,986117,986117,5744,-1,-1,-1,16733,11549,5774.5,578.555559,1269492,,,
,13053,,0.810091128048349,0.000893280079208,0.999999502975647,7.26861333906932E-19,236336,1493902,1837634,1,0.999792255416956,0.000505450885945,0.9977,0.0016,,,,1,,,-1,,,2057021,2057021,,0.999792255416956,0.000505450885945,0.9981,0.0436,12664,,,,,5092.7765072851,0.995864100187418,1148806,1148806,12664,-1,-1,-1,16734,12725,12725,638.279194,1484269,,,
,19124,,0.813012247614074,0.000880911876055,0.999999749159004,3.91092447565439E-19,249448,1545108,1899472,1,0.999856538479972,0.000416562968744,0.9979,0.0016,,,,1,,,-1,,,2125755,2125755,,0.999856538479972,0.000416562968744,0.9945,0.0524,18775,,,,,5260.33096488614,0.994055973153454,1189937,1189937,18775,-1,-1,-1,16735,18883,18883,947.501469,1542514,,,
,31543,,0.814521787635193,0.00100146927559,0.999999937201169,1.99162657734719E-19,208714,1200640,1473634,1,0.999912024833978,0.000347573914851,0.9978,0.0018,,,,1,,,-1,,,1645113,1645113,,0.999912024833978,0.000347573914851,0.988,0.0888,31420,,,,,4056.77699019614,0.987169404094238,912933,912933,31420,-1,-1,-1,16736,31439,31439,1577.298977,1202910,,,
,28595,,0.817516853527524,0.001636542102051,0.999999985014805,3.44175141432242E-19,93289,453605,554780,1,0.999937253770634,0.000374734024169,0.9978,0.0031,,,,1,,,-1,,,614045,614045,,0.999937253770634,0.000374734024169,0.9524,0.2104,28575,,,,,1503.81265232208,0.968533096118103,331868,331868,28575,-1,-1,-1,16737,28581,28581,1433.949339,456726,,,
