COINTRIG_cut,COINTRIG_scaler,COIN_PS,COIN_scaler_accp,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total,ELT2_HMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_DataRate,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_DataRate,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,avg_yield_HMS_CPULT_notrack,avg_yield_HMS_CPULT_track,avg_yield_HMS_notrack,avg_yield_HMS_scaler,avg_yield_HMS_track,avg_yield_SHMS_CPULT_notrack,avg_yield_SHMS_CPULT_track,avg_yield_SHMS_notrack,avg_yield_SHMS_scaler,avg_yield_SHMS_track,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncern_COIN_evts_scaler,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
,173474,,155496.4444444444,1.2341363299611117,-1.23408086258804,0.815342914921516,0.815342914921516,0.001354829489311,,,,0.998692288839702,0.999955055716516,1.55644193676517e-18,113310,5918630,7257252,2641.8407278748255,9,0.99817891996778,0.00106203692923,5756832,0.9972,0.0023,,,,9,,,-1,,,8127129,8127129,,,0.99817891996778,0.00106203692923,7965331,0.9851,0.0198,1.0061990877513913,0.815306269918411,-0.815342914921516,18089,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,19812.6263007163,0.999585386019333,79.59210624529094,1.0061990877513938,496046,496046,18089,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,696.8869663834734,23776.566550873427,29154.1345133011,32648.64056986725,32648.64056986725,16727,161798,17977.555555555555,17977.5555555556,1,248.927026,657461,,0.0024009482737184697,0.001354829489311,2.6188470160661062e-05,0.0003712050690219261,0.001419838747847332,0.00041104503281394705,0.001419838747847332,0.0003507772535161848,-1.0,0.0003507772535161848,-1.0,0.0074815019453652026,2.2511760554416894e-06,-2.251277237484052e-06,29.92434703386664,0.002774668237158332,0.005074668237158332,0.0020729585500256094,0.0015653012590051106,0.0030963134773669605,,,,,,0.9993060481251704,0.9989975591415794,0.9927984269144999,0.9970275080207389,0.9930014635431745,,,,,,276.4790404361989,277.2553554314068,276.4914671470793,291.0649513802149,277.26781703477667,1,1,1,1,1
,397782,,356562.0,1.223015805454357,-1.2229605803596033,0.81504950116418,0.81504950116418,0.000894742367866,,,,0.998692632750307,0.9999548451504,2.95725392277645e-19,261503,13566996,16631023,2641.145958975846,9,0.998201793256689,0.000857748633724,13196016,0.9971,0.0016,,,,9,,,-1,,,18632390,18632390,,,0.998201793256689,0.000857748633724,18261410,0.9859,0.014,0.9967734109655507,0.8150126977265384,-0.81504950116418,41087,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,45410.3428026832,0.999585229419499,79.56205563126368,0.9967734109655507,1137789,1137789,41087,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,696.9415260887503,23770.313630782617,29138.70046919445,32645.23362364504,32645.23362364504,16728,370980,41220.0,41220.0,1,570.753765,1509584,,0.0015855408528857784,0.000894742367866,2.618157392615743e-05,0.0002452113215368978,0.0009374953766211154,0.0002714926968223761,0.0009374953766211154,0.00023166782269520383,-1.0,0.00023166782269520383,-1.0,0.004917557871346059,9.821829893378254e-07,-9.822273416657112e-07,68.59063732235867,0.0018322377444871154,0.0034322377444871155,0.0017777504514867367,0.0015346681746618033,0.0023917350747441274,,,,,,0.9993060481251704,0.9989975591415794,0.9939043744636942,0.9971341827430571,0.9942073371624764,,,,,,276.7869714764157,277.5919882423184,276.7994703148671,291.09609322195473,277.6045234328223,1,1,1,1,1
,38504,,33484.2,1.2096804896196922,-1.2096502842328172,0.807614700364639,0.807614700364639,0.000837308936459,,,,0.9990445242890428,0.999975030276892,4.71374244198667e-19,256549,8453687,10411388,3474.457130753691,5,0.998669855766415,0.000829247539219,8428588,0.9972,0.0015,,,,5,,,-1,,,11673783,11673783,,,0.998669855766415,0.000829247539219,11648684,0.9968,0.0151,0.9769313518466871,0.8075945344491929,-0.807614700364639,4904,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,28795.2287720184,0.999442323160266,59.174055023934045,0.9769313518466871,1294866,1294866,4904,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,79.12553265961948,17372.285653768457,21395.351683616518,23989.567266460905,23989.567266460905,16729,25099,5019.8,5019.8,1,486.619157,1676901,,0.005096207183216719,0.000837308936459,1.9127790358235996e-05,0.00030991720322864886,0.0008787950181185549,0.0003439354313527064,0.0008787950181185549,0.0002926807720381315,-1.0,0.0002926807720381315,-1.0,0.013951826685113454,8.680732889432354e-07,-8.680949650341437e-07,46.33943752525658,0.0017161039545775549,0.0032161039545775547,0.001833588554513833,0.0016456175530063701,0.002368975936400395,,,,,,0.9993060481251704,0.9989975591415794,1.0002361311717285,1.0041739241864749,1.0004406888809732,,,,,,278.55589045912154,279.3380369626169,278.56284609625675,293.15122408291296,279.34501213022133,1,1,1,1,1
,21027,,14952.66666666667,1.224213145824521,-1.2242076552497028,0.810355186311564,0.810355186311564,0.000900199670928,,,,0.9995998113563356,0.999995515017269,4.65401208214294e-19,226647,4412450,5431037,2425.3857191781663,3,0.999420268706118,0.000644046421232,4394227,0.9976,0.0016,,,,3,,,-1,,,6085604,6085604,,,0.999420268706118,0.000644046421232,6067381,0.9961,0.0253,0.9920430225539159,0.8103515518825475,-0.810355186311564,6026,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,15065.0941716905,0.998671627685899,24.84243284032161,0.9920430225539154,1137613,1137613,6026,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,34.673652177696724,7276.157157534499,8955.813378142459,10035.198382422594,10035.198382422594,16731,18223,6074.333333333333,6074.33333333333,1,606.425879,1467024,,0.00689622373080913,0.000900199670928,8.006977174623826e-06,0.00042910010345562473,0.00093756789372712,0.00047605825614733583,0.00093756789372712,0.00040536678044023733,-1.0,0.00040536678044023733,-1.0,0.012780604750938526,1.0000007734623012e-06,-1.0000052584686163e-06,36.32576430370944,0.00183776756465512,0.00343776756465512,0.0025871179019092173,0.0024577990044500667,0.003041903850942556,,,,,,0.9993060481251704,0.9989975591415794,1.0051412993245536,1.0008730328806366,1.0049437539879313,,,,,,279.92766564821426,280.6011083081538,279.92892112459134,292.18758590872403,280.6023668049231,1,1,1,1,1
,12343,,8441.66666666667,1.2364773625219048,-1.2364753019354997,0.810961696062712,0.810961696062712,0.001446779263895,,,,0.9997588669854867,0.999998333502523,1.4381952594008899e-18,89116,1711053,2104875,1461.412209171441,3,0.999646924780433,0.0006369756057,1699349,0.9979,0.0026,,,,3,,,-1,,,2355220,2355220,,,0.999646924780433,0.0006369756057,2343516,0.9972,0.0526,1.0027341079972667,0.8109603445970915,-0.810961696062712,3912,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,5829.6920439807,0.997790785920451,14.937438750494008,1.0027341079972658,438910,438910,3912,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,31.626508760049685,4384.236627514323,5393.328009909226,6034.787811864556,6034.787811864556,16732,11704,3901.3333333333335,3901.33333333333,1,390.273871,566749,,0.00900097665895412,0.001446779263895,4.823823473362401e-06,0.0006892659822413947,0.0015094275140293775,0.0007644837685981803,0.0015094275140293775,0.0006516047772699264,-1.0,0.0006516047772699264,-1.0,0.01603401071253848,2.5810920051293913e-06,-2.5810963065198738e-06,20.796830722134217,0.0029562067779243775,0.005556206777924377,0.0038735907539228613,0.00364839179354163,0.004665265836892543,,,,,,0.9993060481251704,0.9989975591415794,1.0022852914513494,1.0009662643293704,1.0017870482835132,,,,,,279.13306608397346,279.7204790900626,279.1335312592991,292.2148032190535,279.72094524431213,1,1,1,1,1
,12524,,6749.5,1.2245370603726993,-1.2245350333901563,0.812323151475972,0.812323151475972,0.000971684318373,,,,0.9997591084938482,0.999998344694817,6.55523565097578e-19,197118,2533984,3118488,2189.9227831980784,2,0.999636173819081,0.000586081522053,2522435,0.9976,0.0018,,,,2,,,-1,,,3490212,3490212,,,0.999636173819081,0.000586081522053,3478663,0.9975,0.035,0.9947181574162265,0.8123218068332491,-0.812323151475972,5744,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,8643.95960642169,0.997791251426856,14.940586901217017,0.9947181574162265,986117,986117,5744,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,21.64701350661467,4379.845566396157,5390.127104456704,6032.630653541089,6032.630653541089,16733,11549,5774.5,5774.5,1,578.555559,1269492,,0.00893569775377693,0.000971684318373,4.8189909770307496e-06,0.0005662757466695915,0.0010070146230999513,0.0006282001934868955,0.0010070146230999513,0.0005352714702901755,-1.0,0.0005352714702901755,-1.0,0.0131259344956911,1.162306958710075e-06,-1.1623088826859928e-06,30.8309152138851,0.0019786989414729513,0.0037786989414729513,0.0037061900950541952,0.0036216571761667608,0.0041201753628550605,,,,,,0.9993060481251704,0.9989975591415794,1.0107814341425017,1.0020500672024661,1.0105827803225926,,,,,,281.49921625830314,282.17643971361576,281.4996822261861,292.5312007387063,282.1769068025122,1,1,1,1,1
,13053,,328.0,1.2285121352662738,-1.2285115246658247,0.810091128048349,0.810091128048349,0.000893280079208,,,,0.9998712716773908,0.999999502975647,7.26861333906932e-19,236336,1493902,1837634,2340.5149565317024,1,0.999792255416956,0.000505450885945,1481177,0.9977,0.0016,,,,1,,,-1,,,2057021,2057021,,,0.999792255416956,0.000505450885945,2044296,0.9981,0.0436,0.9952062868369351,0.8100907254133303,-0.810091128048349,12664,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,5092.7765072851,0.995864100187418,7.978916679657742,0.9952062868369351,1148806,1148806,12664,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,20.450298431629594,2340.5149565317024,2879.044182035487,3222.760540115616,3222.760540115616,16734,12725,12725.0,12725.0,1,638.279194,1484269,,0.008752756184532034,0.000893280079208,2.5748979144742105e-06,0.000737684216180222,0.0009329892771533463,0.0008181613238354235,0.0009329892771533463,0.0006972373398984923,-1.0,0.0006972373398984923,-1.0,0.0088439166739255,9.850112853747878e-07,-9.85011774949628e-07,32.14688199765376,0.0018262693563613464,0.0034262693563613467,0.0063808289958492935,0.00636505276211917,0.006578372038298769,,,,,,0.9993060481251704,0.9989975591415794,1.0040091892578498,1.0005191424862538,1.003711253824745,,,,,,279.6134927971759,280.2580863958865,279.61363177196034,292.08427372364764,280.25822569104974,1,1,1,1,1
,19124,,241.0,1.2229592138974428,-1.2229589071291356,0.813012247614074,0.813012247614074,0.000880911876055,,,,0.9999103104926162,0.999999749159004,3.91092447565439e-19,249448,1545108,1899472,1630.7183160683837,1,0.999856538479972,0.000416562968744,1526225,0.9979,0.0016,,,,1,,,-1,,,2125755,2125755,,,0.999856538479972,0.000416562968744,2106872,0.9945,0.0524,0.99428056982471,0.8130120436772721,-0.813012247614074,18775,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,5260.33096488614,0.994055973153454,5.551791883170304,0.99428056982471,1189937,1189937,18775,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,20.183609868366336,1630.7183160683837,2004.716680813927,2243.5374187266825,2243.5374187266825,16735,18883,18883.0,18883.0,1,947.501469,1542514,,0.0072312043141863755,0.000880911876055,1.7939510462606104e-06,0.0007255770741401536,0.0009167227635401895,0.0008044898691079842,0.0009167227635401895,0.0006858725081568573,-1.0,0.0006858725081568573,-1.0,0.007256553696084324,9.544819785901283e-07,-9.544822180133984e-07,47.13028783173734,0.0017976346395951895,0.0033976346395951894,0.009006343472091697,0.008995612550046689,0.009147361517797836,,,,,,0.9993060481251704,0.9989975591415794,1.005037874022275,0.9998868007588037,1.0045382625260082,,,,,,279.9000472690444,280.4890743251272,279.9001174794687,291.8996724837868,280.4891446833036,1,1,1,1,1
,31543,,104.0,1.2269723572901878,-1.226972280237758,0.814521787635193,0.814521787635193,0.00100146927559,,,,0.9999581339993476,0.999999937201169,1.9916265773471901e-19,208714,1200640,1473634,761.2000118605289,1,0.999912024833978,0.000347573914851,1169201,0.9978,0.0018,,,,1,,,-1,,,1645113,1645113,,,0.999912024833978,0.000347573914851,1613674,0.988,0.0888,0.9993956550780877,0.8145217364841769,-0.814521787635193,31420,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,4056.77699019614,0.987169404094238,2.571977189709507,0.9993956550780877,912933,912933,31420,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,19.998110985904734,761.2000118605289,934.2769008845937,1042.993765918102,1042.993765918102,16736,31439,31439.0,31439.0,1,1577.298977,1202910,,0.005630519955510933,0.00100146927559,8.373550697552678e-07,0.000823768504652334,0.0010465995581333582,0.0009126275942571392,0.0010465995581333582,0.0007796543976419836,-1.0,0.0007796543976419836,-1.0,0.005638210282846931,1.231324517271785e-06,-1.2313245945975301e-06,77.72485113613786,0.0020480688337233583,0.003848068833723358,0.01918782616012583,0.019180985108324437,0.019272069757844103,,,,,,0.9993060481251704,0.9989975591415794,1.0049460649460944,1.000119206360665,1.0045471652041371,,,,,,279.8745313436499,280.4916128920123,279.8745489194444,291.96751928305974,280.49163050655886,1,1,1,1,1
,28595,,14.0,1.2229596013763762,-1.222959583050088,0.817516853527524,0.817516853527524,0.001636542102051,,,,0.9999826017040341,0.999999985014805,3.44175141432242e-19,93289,453605,554780,316.332653925091,1,0.999937253770634,0.000374734024169,425024,0.9978,0.0031,,,,1,,,-1,,,614045,614045,,,0.999937253770634,0.000374734024169,585464,0.9524,0.2104,0.9997900703264406,0.8175168412768745,-0.817516853527524,28575,278.9086267312783,279.609895076019,278.497084253429,291.9327190460632,279.2219621161932,0.1,0.1,0.1,0.1,0.1,1,,,,,1503.81265232208,0.968533096118103,1.0487209076513129,0.9997900703264406,331868,331868,28575,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1,-1.0,-1,-1,-1,19.94142974391371,316.332653925091,386.8895398960814,428.2194519007341,428.2194519007341,16737,28581,28581.0,28581.0,1,1433.949339,456726,,0.005913640909138647,0.001636542102051,3.479719734377865e-07,0.0013425782333900064,0.001735870453239229,0.0014847764940218331,0.001735870453239229,0.001276144638824258,-1.0,0.001276144638824258,-1.0,0.005914571625597163,3.2761037281305848e-06,-3.276103777223639e-06,70.50836197911673,0.0033724125552902287,0.006472412555290229,0.046918522879464096,0.046909904001870555,0.047020822931875574,,,,,,0.9993060481251704,0.9989975591415794,1.0007827639941267,0.999608724112918,1.0003855168181461,,,,,,278.71507756685196,279.32960269277606,278.7150817434519,291.8184928124502,279.32960687858474,1,1,1,1,1
