COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total
,5551343,,0.980650229449708,0.001885332894805,0.997786975481981,1.09861471679233E-19,37243,48104090,92929652,65,0.896691932950644,0.002435562220691,0.9955,0.0027,,1025,,65,,,0.877429520114684,4.64253876798793E-20,2,641326065,943932593,1025,0.896691932950644,0.002435562220691,0.9413,0.0037,5494,,,,,40732.9665875222,1.00035964456563,442957,442957,2981,395668,327137,2513,12126,379659,6205.60827016886,585.975603,1347250,,,
,3724095,,0.99704994984597,0.002102800068104,0.998612839980629,1.11797879773557E-19,32808,39431292,75943166,65,0.919989177060796,0.002239446445418,0.9963,0.003,,1025,,65,,,0.920209683261756,4.66322624014816E-20,2,536160552,773122381,1025,0.919989177060796,0.002239446445418,0.9531,0.0038,5747,,,,,32994.1350836887,1.00045981221622,366107,366107,3090,326604,273557,2657,12128,394439,6447.19055909944,606.844255,1127721,,,
,2059067,,0.998132882319342,0.002132754044221,0.999261048102731,1.49094153970757E-19,17257,27521925,52771620,65,0.942944621528292,0.0020582601859,0.9967,0.0035,,513,,65,,,0.955962585519175,5.73142760859586E-20,5,381341765,537524244,513,0.942944621528292,0.0020582601859,0.9677,0.0034,6006,,,,,22887.9348562427,1.00063251466836,260601,260601,2187,394596,335828,3819,12129,376391,6513.04864297496,579.078181,1164593,,,
,880707,,0.997868336262207,0.00220373073874,0.999710265723153,1.69763081792086E-19,34236,17713697,33928112,33,0.965168531860614,0.001784095789898,0.9972,0.0031,,513,,33,,,0.982184356290292,6.4905805830266E-20,3,251629130,346254119,513,0.965168531860614,0.001784095789898,0.9763,0.0037,6036,,,,,14713.4125008214,1.00101552681774,325404,325404,3158,296254,254335,2878,12130,197217,6349.06166932483,597.674599,1028614,,,
,353306,,0.999106113439902,0.003175617882133,0.99993208441828,2.41050281479899E-19,19652,8512609,16181016,33,0.983537448926927,0.001470203949614,0.9977,0.0045,,513,,33,,,0.995757820679853,9.20856779720496E-20,6,121947398,164258962,513,0.983537448926927,0.001470203949614,0.9833,0.005,6196,,,,,6952.24043222442,1.00212111072233,157406,157406,3223,141652,122552,2973,12131,194638,6266.03520585977,589.858869,505185,,,
,526820,,0.999762088091598,0.00265055898555,0.999849333468597,2.17127127826767E-19,25808,12241319,23360617,33,0.975169518152459,0.001650147121108,0.9976,0.0037,,513,,33,,,0.990618323363653,8.21659572925072E-20,4,175149702,237737442,513,0.975169518152459,0.001650147121108,0.9807,0.0043,5768,,,,,10090.9132151843,1.00141251654048,226527,226527,3008,205185,177077,2760,12132,188133,6056.6179337232,570.143273,721765,,,
,270642,,0.999824064282273,0.003838988942696,0.999969416891078,2.99591102873855E-19,14456,5845541,11049250,33,0.989109922682678,0.001315361372681,0.9978,0.0055,,513,,33,,,0.998096635199374,1.07520222311053E-19,7,83373351,111464174,513,0.989109922682678,0.001315361372681,0.9867,0.0062,6232,,,,,4706.56427496789,1.00318709265903,104754,104754,3246,83403,77867,2987,12133,197988,6373.88268651427,600.010258,339600,,,
,86094,,0.999694035618213,0.002466207200006,0.999987987596784,3.51227623891711E-19,29767,3664287,6987465,9,0.993197895287167,0.001161386964528,0.9979,0.0036,,129,,9,,,0.99924779290114,1.29113274513585E-19,22,53474551,71212097,129,0.993197895287167,0.001161386964528,0.9886,0.0038,6687,,,,,2998.62712710907,1.00510484671856,247868,247868,3338,215476,201774,3350,12135,55087,6500.3608957795,612.301274,829441,,,
,46254,,0.998638139986921,0.002222429518281,0.999995580686663,3.94763640214999E-19,32920,2383601,4544507,5,0.995936289260207,0.000998915857321,0.9981,0.0033,,65,,5,,,0.999727128983025,1.41277399654999E-19,47,34831993,46293579,65,0.995936289260207,0.000998915857321,0.9897,0.0034,7073,,,,,1940.09386043781,1.00853730269847,286522,286522,3327,276185,258682,3750,12137,33156,7039.27384615385,662.526742,1011218,,,
,292594,,0.99967531622219,0.002141334823554,0.999932145100481,1.9670648227255E-19,37198,9465025,18075864,17,0.983472187089761,0.001431029637105,0.9977,0.003,,257,,17,,,0.995732288830133,7.33768533687802E-20,9,137092485,184466902,257,0.983472187089761,0.001431029637105,0.9848,0.0034,6538,,,,,7812.01059134081,1.00211320465224,333302,333302,3335,279117,259765,3203,12140,112237,7013.20691233692,660.335085,1076350,,,
