COINTRIG_cut,COINTRIG_scaler,COIN_PS,COIN_scaler_accp,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total,ELT2_HMS,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_DataRate,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_DataRate,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,avg_yield_HMS_CPULT_notrack,avg_yield_HMS_CPULT_track,avg_yield_HMS_notrack,avg_yield_HMS_scaler,avg_yield_HMS_track,avg_yield_SHMS_CPULT_notrack,avg_yield_SHMS_CPULT_track,avg_yield_SHMS_notrack,avg_yield_SHMS_scaler,avg_yield_SHMS_track,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncern_COIN_evts_scaler,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
,5551343,,5545137.391729831,0.9047994605024855,1.0289112645702911,0.980650229449708,0.980650229449708,0.001885332894805,,,,0.9954849230301488,0.997786975481981,1.09861471679233e-19,37243,48104090,92929652,1262.9585929653852,65,0.896691932950644,0.002435562220691,47724431,0.9955,0.0027,,1025,,65,,,0.877429520114684,4.64253876798793e-20,2,641326065,943932593,1067.7645326023217,1025,0.896691932950644,0.002435562220691,640946406,0.9413,0.0037,0.8853282000429111,0.9784800264483349,0.8604514602264121,5494,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9805293387381399,,,,,40732.9665875222,1.00035964456563,69.51307593521466,0.5103658809615997,442957,442957,2981,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,6.784575105555248,395668,327137,2513,9473.675988520636,82092.30854275003,158589.6264694829,1094458.6459173795,1610873.5383647021,12126,379659,5840.907692307693,6205.60827016886,370.3990243902439,585.975603,1347250,3.576368345939699e-05,0.0004244250114814332,0.001885332894805,9.071110702727267e-05,0.00010373441081104079,0.0015025163805369576,0.00014418132035815716,0.0015025163805369576,3.2548389836562405e-05,0.0015897708742505074,3.948758324713433e-05,0.001748377330012757,0.01194513184347914,3.616594241312974e-06,3.180344730469053e-06,63.10071380181538,0.0034236129588013546,0.006123612958801355,0.00635775587938496,0.006180008739993543,0.006907319293463567,0.005059998760352059,0.008759998760352057,0.00637893978773323,0.006177786864043542,0.007374338805311706,1.0014599633325112,1.0040755292839572,1.0036766987095476,0.9978440314655029,1.0062980542260165,1.1257138072146105,1.0448071141792055,1.2826176994775802,1.0268780068367644,1.1904340948807985,734.8488081663864,738.1705757572942,736.4786534835432,1199.8950864306287,739.8077885319368,10350.894007086892,9091.772116810955,11796.838116107587,18282.967093071988,10361.82611638439
,3724095,,3717647.8094409006,0.8952753530231004,0.9715540698051406,0.99704994984597,0.99704994984597,0.002102800068104,,,,0.9964262312082035,0.998612839980629,1.11797879773557e-19,32808,39431292,75943166,999.6556060969243,65,0.919989177060796,0.002239446445418,39036853,0.9963,0.003,,1025,,65,,,0.920209683261756,4.6632262401481604e-20,2,536160552,773122381,861.9731686606372,1025,0.919989177060796,0.002239446445418,535766113,0.9531,0.0038,0.8913960192922784,0.9956668820182277,0.9174950185439097,5747,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9847693940297452,,,,,32994.1350836887,1.00045981221622,54.37002132233863,0.509204211551089,366107,366107,3090,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,6.904553048760391,326604,273557,2657,6136.821712187092,64977.61439630009,125144.40958166441,883522.4978771531,1274004.6142481815,12128,394439,6068.292307692308,6447.19055909944,384.81853658536585,606.844255,1127721,2.1883420477256573e-05,0.0005181907119738957,0.002102800068104,7.173172844844055e-05,0.00011475078118278081,0.0016527074456373237,0.00015925002028672203,0.0016527074456373237,3.59646532223791e-05,0.0017498033768926617,4.3186953711306193e-05,0.0019119480326127076,0.011759263246106648,4.428699311544465e-06,4.080992981040523e-06,54.3859567764625,0.0037773909342185804,0.00677739093421858,0.005227996473700743,0.004962961980975906,0.00602759878633502,0.00552283911469985,0.00932283911469985,0.0052594975165954246,0.004960075677623843,0.006488629603165327,1.0006198917107902,1.0024276963931944,1.0020054115039891,1.0022546911337267,1.003815719383852,1.1233307346642474,1.0431168308802201,1.2204003399351677,1.0059807685748625,1.1332549673171806,734.2323824952674,736.9591312810071,735.2522950831575,1205.1988500419084,737.9828315599292,10328.981749084975,9077.063497048828,11224.595803505435,17910.903890885624,9864.125168596855
,2059067,,2052553.951357025,0.9245569856773741,0.9664329928110384,0.998132882319342,0.998132882319342,0.002132754044221,,,,0.997386007753934,0.999261048102731,1.49094153970757e-19,17257,27521925,52771620,731.1866422562221,65,0.942944621528292,0.0020582601859,27145534,0.9967,0.0035,,513,,65,,,0.955962585519175,5.73142760859586e-20,5,381341765,537524244,1283.6889584975231,513,0.942944621528292,0.0020582601859,380965374,0.9677,0.0034,0.9221488014646002,0.9973953101322256,0.9541776908737046,6006,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9889260629783339,,,,,22887.9348562427,1.00063251466836,39.52477507737889,0.3776790624642991,260601,260601,2187,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,5.205084606167523,394596,335828,3819,3555.7668507631097,47527.131746654435,91130.38917969524,658532.4357092294,928241.2317310226,12129,376391,5790.630769230769,6513.04864297496,733.7056530214425,579.078181,1164593,1.1568710105644028e-05,0.0006968908474950743,0.002132754044221,5.24168621926538e-05,0.00013765747105874156,0.0019588986234675234,0.00019061654630174552,0.0019588986234675234,4.313213655232673e-05,0.0015919288769574225,5.1208589516128847e-05,0.0017256056277629795,0.011899784176629782,4.553781032200182e-06,4.356463506403703e-06,42.48904738583896,0.004103221377794168,0.007603221377794168,0.004341913977035534,0.003879947760627456,0.005576936164595802,0.005592646611989372,0.008992646611989372,0.004189172825045188,0.00387524641147787,0.005395291369156728,1.02115490217009,1.0225892523888505,1.0219055283956495,0.9993312419915782,1.0233409329705008,0.9738381177807955,0.9049981700898181,1.018421013887786,0.9882611928148595,0.9464295318915883,749.3005115410718,751.781390128496,749.8546180337438,1201.6834386644991,752.3373312267922,8954.403039749077,7875.173337665722,9366.896963740499,17595.417125791402,8237.951418766857
,880707,,874357.9383306751,0.9529986639738934,0.9700037895060574,0.997868336262207,0.997868336262207,0.00220373073874,,,,0.9983699268186568,0.999710265723153,1.69763081792086e-19,34236,17713697,33928112,898.1119456436813,33,0.965168531860614,0.001784095789898,17516480,0.9972,0.0031,,513,,33,,,0.982184356290292,6.490580583026601e-20,3,251629130,346254119,820.6892639010296,513,0.965168531860614,0.001784095789898,251431913,0.9763,0.0037,0.9506916634882644,0.9975792196014115,0.9800906695141604,6036,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9931000259517085,,,,,14713.4125008214,1.00101552681774,24.61776445818371,0.5284230061303032,325404,325404,3158,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,7.4862410441290566,296254,254335,2878,1473.5560143823345,29637.694206241482,56766.86286612626,421013.5923812282,579335.510626243,12130,197217,5976.272727272727,6349.06166932483,384.43859649122805,597.674599,1028614,4.491338154471159e-06,0.0010655756211471194,0.00220373073874,3.265469316644016e-05,0.00017168017742488453,0.0017530268034272713,0.00023759942986294663,0.0017530268034272713,5.374060184112075e-05,0.001837248445375337,6.304048445563465e-05,0.0019828822968093645,0.012237637449698495,4.865393477720796e-06,4.7800983193439976e-06,35.696072146402294,0.003961248880321742,0.007061248880321743,0.0036674760430275644,0.00323029003320909,0.004802122502204741,0.006471561148384553,0.010171561148384554,0.0037084711917402063,0.0032219913071380862,0.005238583642547576,1.0026560170426024,1.0035609412457096,1.0029421727166252,0.9975335655712998,1.0038473551829763,1.1324297216483206,1.052221870196698,1.152656023431832,0.9829973428199916,1.0710155813497677,735.7264454914362,737.7922638301607,735.9396724402336,1199.5217550389366,738.006089490808,10412.646575118373,9156.294334450862,10601.519468755248,17501.697330841762,9322.378508485072
,353306,,347039.96479414025,0.9897749506107175,0.9939241338756974,0.999106113439902,0.999106113439902,0.003175617882133,,,,0.9992062618371853,0.99993208441828,2.41050281479899e-19,19652,8512609,16181016,437.3213018262653,33,0.983537448926927,0.001470203949614,8317971,0.9977,0.0045,,513,,33,,,0.995757820679853,9.20856779720496e-20,6,121947398,164258962,403.0018680974647,513,0.983537448926927,0.001470203949614,121752760,0.9833,0.005,0.9888230430313772,0.9990382585670077,0.9948677261468347,6196,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9966928422447678,,,,,6952.24043222442,1.00212111072233,11.786277697257816,0.5464451956966265,157406,157406,3223,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,7.835823426052467,141652,122552,2973,598.9670047666945,14431.602960266755,27432.01272438611,206739.95833399938,278471.6321693554,12131,194638,5898.121212121212,6266.03520585977,379.411306042885,589.858869,505185,1.0317884564602087e-06,0.0016823815367827944,0.003175617882133,1.5887373671083526e-05,0.0002485977000355121,0.0025205154194621864,0.00034274304995507844,0.0025205154194621864,7.802530283935094e-05,0.002656982198082293,9.05552702305747e-05,0.002856536636142834,0.012563109309367033,1.0092885930401476e-05,1.0050752701143346e-05,30.533944458273478,0.005697165090051646,0.010197165090051646,0.005164705114659612,0.004520929581649419,0.00685012254791045,0.010225589361503156,0.015225589361503157,0.005232660364848285,0.004508800209841266,0.007237453591827321,1.0203586961725364,1.0207677805450621,1.020423489542635,0.9969544365957986,1.0208325998922563,1.139127292601317,1.0590619343262175,1.1436681029539841,0.9889877908680395,1.0632835866619479,748.7162734788628,750.4422907475822,748.7671264338273,1198.8253596202128,750.4932609339755,10474.230475569007,9215.815659952956,10518.85333766973,17608.353782539074,9255.077357726264
,526820,,520763.3820662768,0.9527168541807259,0.9615946819986395,0.999762088091598,0.999762088091598,0.00265055898555,,,,0.9988191169187047,0.999849333468597,2.17127127826767e-19,25808,12241319,23360617,650.6242872150148,33,0.975169518152459,0.001650147121108,12053186,0.9976,0.0037,,513,,33,,,0.990618323363653,8.216595729250721e-20,4,175149702,237737442,598.836182449585,513,0.975169518152459,0.001650147121108,174961569,0.9807,0.0043,0.9523466831024329,0.9996114574055569,0.9903826434678434,5768,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9950373058191593,,,,,10090.9132151843,1.00141251654048,17.698907788716994,0.527626732152254,226527,226527,3008,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,7.525952384749087,205185,177077,2760,924.0133576038877,21470.601478095487,40973.23972109726,307202.9615966371,416978.42149231146,12132,188133,5701.0,6056.6179337232,366.7309941520468,570.143273,721765,2.323356567913999e-06,0.0013777450932892792,0.00265055898555,2.3645584296348292e-05,0.00020689873979443772,0.0021010675399783167,0.0002858155757036653,0.0021010675399783167,6.485615639239924e-05,0.0022076346183161543,7.556058273813467e-05,0.0023763965990866985,0.012540550153052749,7.026076020902506e-06,6.961208468786373e-06,31.284264285951167,0.0047539498820962315,0.008453949882096232,0.004043437382344468,0.003466569103395666,0.005480819816865054,0.007960758100044324,0.012260758100044324,0.004099823259368281,0.0034555116977532606,0.005941258348031766,1.0134212275261887,1.0139291571710995,1.0135694598951004,0.9980482824450511,1.0140774638345025,1.1387636382429858,1.0588913753038438,1.1492346505214015,0.98656483784928,1.0686279564695569,743.6257149412095,745.4147102457994,743.7377713314894,1200.1406957032507,745.5270362184135,10470.88668810351,9214.331478095039,10570.05149324265,17565.21450989412,9301.59604438539
,270642,,264268.1173134857,0.9779419490759793,0.9797769134603779,0.999824064282273,0.999824064282273,0.003838988942696,,,,0.9994641679026094,0.999969416891078,2.99591102873855e-19,14456,5845541,11049250,295.2242960829614,33,0.989109922682678,0.001315361372681,5647553,0.9978,0.0055,,513,,33,,,0.998096635199374,1.0752022231105301e-19,7,83373351,111464174,270.8639558738738,513,0.989109922682678,0.001315361372681,83175363,0.9867,0.0062,0.9777399909140997,0.9997934865540122,0.9979210343514993,6232,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.997796640888768,,,,,4706.56427496789,1.00318709265903,7.844139682971703,0.5410327898660524,104754,104754,3246,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,7.739514516031274,83403,77867,2987,451.0622883384104,9742.401770737726,18415.10182980905,138953.20936329724,185770.4472779197,12133,197988,5999.636363636364,6373.88268651427,385.94152046783626,600.010258,339600,4.579851732808676e-07,0.0019222169517953388,0.003838988942696,1.0722387347113426e-05,0.0003008386284270525,0.003089688470985143,0.0004136067754838808,0.003089688470985143,9.471796287132105e-05,0.0034626545279231266,0.00010951821867577355,0.003583630948821478,0.012386339052639422,1.473997866202055e-05,1.471237305558094e-05,30.195326137923384,0.006929135398854424,0.012429135398854423,0.007152902015173638,0.006464425779470456,0.009022971087101803,0.013717678588886886,0.01991767858888689,0.007321735310541694,0.006452101158861936,0.009594154885013743,1.0001579699972951,1.000458678947986,1.000184138726296,0.9974347814227126,1.0004848555449148,0.9878650402354494,0.9876923874978877,0.9894788196535799,0.9934964532416299,0.9893058848699663,733.8934347259543,735.5115601583025,733.9158801552566,1199.4029683240099,735.5340550764246,9083.380037848621,8594.767385073055,9100.701993684386,17688.627900069405,8611.157559264
,86094,,79593.63910422049,1.0290393210081725,1.0298015838347012,0.999694035618213,0.999694035618213,0.002466207200006,,,,0.9996708551924391,0.999987987596784,3.51227623891711e-19,29767,3664287,6987465,664.9390051734564,9,0.993197895287167,0.001161386964528,3609200,0.9979,0.0036,,129,,9,,,0.99924779290114,1.29113274513585e-19,22,53474551,71212097,677.0056191337848,129,0.993197895287167,0.001161386964528,53419464,0.9886,0.0038,1.0287121141753344,0.9996820268903646,0.998942058667933,6687,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9986217541260439,,,,,2998.62712710907,1.00510484671856,4.897306692700218,0.5453555285276018,247868,247868,3338,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,7.844863579428903,215476,201774,3350,140.60725276230602,5984.451046561108,11411.80869076552,87333.72486825823,116302.38254248675,12135,55087,6120.777777777777,6500.3608957795,427.031007751938,612.301274,829441,1.791984663199098e-07,0.003408109634488479,0.002466207200006,6.585063590705438e-06,0.0003783033413801825,0.002008582935636657,0.0005224025149966965,0.002008582935636657,0.00011850129942730195,0.0021542720534656373,0.000136749713979046,0.0022262165047132417,0.012580924450282416,6.083966368796267e-06,6.079462995065266e-06,30.37680254108145,0.004474969334108977,0.008074969334108976,0.010336118046684122,0.010152528827920115,0.010945105585374185,0.014750895141408333,0.01855089514140833,0.010365414554721147,0.010139999720674798,0.011040009913547406,1.0104076208314008,1.0106101276198227,1.0104152930394419,0.9975586797656844,1.010617801365535,1.004700897734577,1.0055876497256688,1.0051828496540187,0.9976165562129612,1.0060700270173037,741.4143980947747,742.9746448489575,741.4233043704605,1199.5519545465665,742.9835698671817,9238.185082767704,8750.489569519872,9245.139342210865,17761.98394289377,8757.076704782472
,46254,,39214.726153846146,1.006165838572861,1.0064360192308393,0.998638139986921,0.998638139986921,0.002222429518281,,,,0.9998021241307117,0.999995580686663,3.94763640214999e-19,32920,2383601,4544507,719.5486155938441,5,0.995936289260207,0.000998915857321,2350445,0.9981,0.0033,,65,,5,,,0.999727128983025,1.4127739965499902e-19,47,34831993,46293579,808.8380157560724,65,0.995936289260207,0.000998915857321,34798837,0.9897,0.0034,1.004791141044268,0.9986337266920702,0.9983656405820727,7073,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9991730688991319,,,,,1940.09386043781,1.00853730269847,2.9283253602430586,0.5017191458559537,286522,286522,3327,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,7.351610568222946,276185,258682,3750,69.81454040688368,3597.743077969221,6859.356327687676,52574.47102414471,69874.2798822753,12137,33156,6631.2,7039.27384615385,510.0923076923077,662.526742,1011218,6.450893213322955e-08,0.004649704485797918,0.002222429518281,3.958300637946079e-06,0.00046909047183056184,0.0018681898706764996,0.0006477139050254672,0.0018681898706764996,0.00014697369783799768,0.0019028298521234423,0.0001694380083063972,0.0019661511198649988,0.01194826818116136,4.945906768541873e-06,4.94457902557611e-06,32.67247539808206,0.004090683897889633,0.007390683897889633,0.01694587692442751,0.016855032953211925,0.017264204144351532,0.020965991263701703,0.024365991263701703,0.01694973075827302,0.016843434807711027,0.017287376110270362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589
,292594,,285580.79308766307,0.9326072028512971,0.9365408065443827,0.99967531622219,0.99967531622219,0.002141334823554,,,,0.999211648166476,0.999932145100481,1.9670648227255e-19,37198,9465025,18075864,843.1570412021772,17,0.983472187089761,0.001431029637105,9352788,0.9977,0.003,,257,,17,,,0.995732288830133,7.33768533687802e-20,9,137092485,184466902,807.82288551928,257,0.983472187089761,0.001431029637105,136980248,0.9848,0.0034,0.9322411390000508,0.9996074833540561,0.9954089907089082,6538,738.0713460019156,740.1559226450433,739.2755727602745,1200.550120403579,741.5744534906645,9695.913882556755,8772.944312017624,10148.272761223085,17769.82402196222,9182.121916704016,0.9966804954621328,,,,,7812.01059134081,1.00211320465224,11.830373349525733,0.5051364523285548,333302,333302,3335,733.7775198931215,735.1743511603261,733.7807627002325,1202.4876118849752,735.1776001404993,9194.960513719236,8701.866587071814,9197.470236776342,17804.41977659212,8704.241722362589,7.334221335210314,279117,259765,3203,443.099278906254,14333.669700437013,27373.7749373108,207610.48157845496,279353.4770305291,12140,112237,6602.176470588235,7013.20691233692,436.7198443579766,660.335085,1076350,1.039506895520104e-06,0.0018487036212960933,0.002141334823554,1.5779476449670996e-05,0.00023520712175014618,0.001732132219696433,0.00032504172737074727,0.001732132219696433,7.362762181772591e-05,0.0018928092763920762,8.54069426750844e-05,0.0019620482467121035,0.011530142338372542,4.58649285031376e-06,4.567228932406249e-06,34.194750964797,0.003874506550145953,0.006874506550145953,0.00481660774803066,0.004506141170932287,0.005674478848175309,0.008412385937148218,0.011812385937148218,0.004876695085028163,0.004495186479092823,0.005944926824809355,0.9899833766505578,0.9903802828855586,0.9900461810879548,0.9976252292283176,0.9904431125026439,1.0001727249049026,0.9987545285768225,1.004185379918804,0.9902662210122093,1.0027614938408789,726.4275468540643,728.1021818723707,726.476841867172,1199.6319794509607,728.1515905253804,9196.548712399552,8691.028660909313,9235.965144009144,17631.115489480922,8728.278432268415
