COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,CoinBlocking_Corr,CoinBlocking_Inside,CoinBlocking_Total,CoinBlocking_SysIn,CoinBlocking_SysOut
1931117,1054527,1,0.976036195647368,8.77727111134795E-05,0.999633159517034,4.29267532639515E-20,48396,21072617,39617739,17,0.960512556956435,0.00156264882068,0.9973,0.0001,1025,,,17,1,,0.985375774220543,1.81290164613895E-20,,760461393,760461393,1025,0.960512556956435,0.00156264882068,0.9938,0.0004,10399,48094,30375,110595,63358,79650.8953982863,1.00036395557269,1434741,1434741,4101,131379,117760,2582,12218,11556,11556,1159.57549,2974583,0.972281444677257,794878,817539,792574,796729
1942926,1064160,1,0.978123093885914,8.35098758153164E-05,0.999635398990634,4.22074159388499E-20,47967,21321008,40086066,17,0.960603398414967,0.00155658915316,0.9974,0.0001,1025,,,17,1,,0.985428841812724,1.76792763525207E-20,,768755007,768755007,1025,0.960603398414967,0.00155658915316,0.9931,0.0004,10484,48666,30707,111273,63819,80492.6321724021,1.00036484154335,1448358,1448358,4147,132261,118686,2607,12219,11706,11706,1174.682246,3004161,0.972580265460308,801482,824078,798997,803313
1164141,640770,1,0.977012671560313,0.0001103021469,0.999632603535678,1.17619953643165E-19,28513,12818982,24111196,17,0.960521298954279,0.001769396865585,0.9973,0.0001,1025,,,17,1,,0.985377764198374,4.89678151803167E-20,,462403920,462403920,1025,0.960521298954279,0.001769396865585,0.9934,0.0005,6317,29036,18618,66923,38588,48434.952271833,1.00036416897556,870422,870422,2465,80048,71683,1561,12220,7032,7032,705.540278,1803522,0.972209703463733,481062,494813,479624,482166
2246595,746737,1,0.982755981358761,7.46242723805972E-05,0.999759054428896,4.42313891881597E-20,35480,17713352,33228955,17,0.96804702657173,0.001462437544232,0.9975,0.0001,513,,,17,1,,0.990312267904652,1.83720070185007E-20,,643535582,643535582,513,0.96804702657173,0.001462437544232,0.9938,0.0003,10961,33305,24998,76111,51318,66343.9977575275,1.00045432488987,1120903,1120903,3616,134845,121331,4554,12221,12014,12014,1205.669179,2990678,0.977503889369058,565486,578500,564078,566519
2433399,806323,1,0.983507750114986,7.0224325789565E-05,0.999759051195382,3.76293693040468E-20,38217,19152477,35939469,17,0.96802607911789,0.001434667631217,0.9974,0.0001,513,,,17,1,,0.990317149672333,1.57096931520052E-20,,695731650,695731650,513,0.96802607911789,0.001434667631217,0.9938,0.0003,11884,36015,26783,82258,55177,71738.0630279915,1.00045438782982,1215702,1215702,3971,146584,131483,4974,12222,12993,12993,1303.876111,3239447,0.978012124738078,611906,625663,610435,613020
848270,276828,1,0.984694612686888,0.000114905178676,0.999763483236313,2.99873007766472E-19,13195,6541620,12288542,17,0.968043807457818,0.001859668770933,0.9975,0.0001,513,,,17,1,,0.990323468084752,1.2542253921912E-19,,246161281,246161281,513,0.968043807457818,0.001859668770933,0.9935,0.0005,4239,12296,9322,28253,19114,25380.8116857633,1.00045457157627,417725,417725,1397,51255,46035,1770,12223,4599,4599,461.495823,1128517,0.977863397222584,210401,215164,209886,210767
1567438,512688,1,0.981555924550372,9.24091037484574E-05,0.999769216659597,8.87944695164889E-20,24857,12385700,23262907,17,0.968781144617872,0.001579753348178,0.9976,0.0001,513,,,17,1,,0.990708478620304,3.62828851296403E-20,,450810776,450810776,513,0.968781144617872,0.001579753348178,0.9942,0.0003,7818,22599,17238,51959,35667,46438.125779468,1.00046408718404,777264,777264,2592,93700,84070,3264,12233,8592,8592,862.053561,2076534,0.977861999206156,381860,390505,380954,382583
1634039,414972,1,0.986867688642321,7.91329797964897E-05,0.999876432090433,5.15852173403625E-20,29142,12697915,23777865,17,0.977195726681232,0.00133603202835,0.9977,0.0001,513,,,17,1,,0.99498592239066,2.1156163865612E-20,,465642595,465642595,513,0.977195726681232,0.00133603202835,0.9945,0.0003,11294,17236,17121,39810,34869,47572.742348677,1.00063654449229,735448,735448,4031,88139,78942,5034,12234,12071,12071,1211.286685,2049864,0.983614949728771,309341,314494,308816,309752
1602316,406787,1,0.987128081247245,7.90432087801881E-05,0.999877521297502,5.30844468480708E-20,28319,12486420,23382503,17,0.977268145887215,0.00133955552229,0.9977,0.0001,513,,,17,1,,0.995006152513837,2.1814363220316E-20,,457812165,457812165,513,0.977268145887215,0.00133955552229,0.9952,0.0003,11136,16961,16974,39097,34537,46767.2529017006,1.0006379433968,722485,722485,3951,86539,77667,4959,12238,11894,11894,1193.394407,2011248,0.98430806403306,292496,297159,292027,292874
2653369,674263,1,0.986977199795477,6.17269411255042E-05,0.999877106902522,1.93973431660368E-20,46989,20713558,38797141,17,0.977283154066032,0.001179898865871,0.9977,0.0001,513,,,17,1,,0.995007818685317,7.9198754044707E-21,,759571877,759571877,513,0.977283154066032,0.001179898865871,0.9952,0.0002,18436,27930,27763,64050,56978,77592.8150173355,1.0006381593784,1192660,1192660,6507,143181,128306,8227,12239,19739,19739,1980.663304,3326214,0.984424107247304,504919,512908,504030,505574
