rate_HMS3-4,HMS_track,HMS_track_uncern
297750.820831555,0.9967,0.0003
298421.547012489,0.9964,0.0002
224784.123935958,0.9971,0.0001
150808.816062082,0.9974,0.0001
150661.958202794,0.9973,0.0001
121047.075125584,0.9976,0.0001
120939.775896868,0.9976,0.0001
120869.872633618,0.9975,0.0001
90895.7769324692,0.9978,0.0001
90954.8641016268,0.9977,0.0001
90805.5667311423,0.9978,0.0001
91153.137927034,0.9979,0.0001
60891.6347220506,0.9979,0.0001
60901.4903666679,0.9979,0.0001
60887.3955184161,0.9979,0.0001
60795.7155681871,0.9979,0.0001
60876.1152031644,0.9979,0.0001
