rate_SHMS,SHMS_track,SHMS_track_uncern
926789.19982836,0.9949,0.0004
927672.200695429,0.9947,0.0002
703389.510642004,0.996,0.0002
474890.413483404,0.9964,0.0001
474631.284631344,0.9966,0.0001
381657.810239067,0.997,0.0001
382099.49222024,0.9968,0.0001
381066.738982645,0.9968,0.0001
287809.737462481,0.9972,0.0001
287569.71742696,0.9973,0.0001
287731.998679448,0.9973,0.0001
288691.925171227,0.997,0.0001
193006.449850441,0.9973,0.0001
193228.929329457,0.9977,0.0001
193324.578662609,0.9975,0.0001
192829.237937743,0.9975,0.0001
193125.609421806,0.9976,0.0001
